"","ID","Date","URL","Y/N - Describes a Lynching?","Notes","Reviewed by TE","Notes from TE","rsw questions","...1","...2","article_id","sn","newspaper_name","year","month","day","page","edition","mod_id","newspaper_state","file_id2","index"
"106",14022,1851-09-06,"https://articleextractor.org/pages/14022/ncu_dan_ver01/sn85042204/1851/09/06/ed-1/seq-1/1",NA,NA,NA,NA,NA,1100,371748,0,"sn85042204","Tarboro' press (Tarborough, (Ed...))",1851,9,6,"seq-1","ed-1",1,"North Carolina","14022_0",264
"107",14022,1851-09-06,"https://articleextractor.org/pages/14022/ncu_dan_ver01/sn85042204/1851/09/06/ed-1/seq-1/1",NA,NA,NA,NA,NA,1101,371746,1,"sn85042204","Tarboro' press (Tarborough, (Ed...))",1851,9,6,"seq-1","ed-1",1,"North Carolina","14022_1",265
"108",14022,1851-09-06,"https://articleextractor.org/pages/14022/ncu_dan_ver01/sn85042204/1851/09/06/ed-1/seq-1/1",NA,NA,NA,NA,NA,1102,371736,2,"sn85042204","Tarboro' press (Tarborough, (Ed...))",1851,9,6,"seq-1","ed-1",1,"North Carolina","14022_2",266
"109",14032,1845-08-05,"https://articleextractor.org/pages/14032/mdu_jalapeno_ver02/sn83009567/1845/08/05/ed-1/seq-1/1",NA,NA,NA,NA,NA,1113,230068,0,"sn83009567","American Republican and Baltimore daily clipper (Baltimore, Md.)",1845,8,5,"seq-1","ed-1",1,"Maryland","14032_0",277
"110",14033,1846-05-21,"https://articleextractor.org/pages/14033/vi_appaloosa_ver01/sn84024656/1846/05/21/ed-1/seq-2/1",NA,NA,NA,NA,NA,1114,625618,0,"sn84024656","Richmond daily Whig (Richmond, Va.)",1846,5,21,"seq-2","ed-1",1,"Virginia","14033_0",278
"111",14035,1858-10-30,"https://articleextractor.org/pages/14035/wvu_antares_ver02/sn84026824/1858/10/30/ed-1/seq-2/1",NA,NA,NA,NA,NA,1115,695699,0,"sn84026824","Shepherdstown register (Shepherdstown, ...)",1858,10,30,"seq-2","ed-1",1,"West Virginia","14035_0",279
"112",14036,1859-11-30,"https://articleextractor.org/pages/14036/vi_manowar_ver01/sn84024738/1859/11/30/ed-1/seq-2/1",NA,NA,NA,NA,NA,1116,648205,0,"sn84024738","The daily dispatch (Richmond [Va.])",1859,11,30,"seq-2","ed-1",1,"Virginia","14036_0",280
"113",14037,1859-04-11,"https://articleextractor.org/pages/14037/dlc_belmont_ver02/sn82014511/1859/04/11/ed-1/seq-2/1",NA,NA,NA,NA,NA,1117,38279,0,"sn82014511","The press and tribune (Chicago, Ill.)",1859,4,11,"seq-2","ed-1",1,"Illinois","14037_0",281
"114",14038,1860-08-23,"https://articleextractor.org/pages/14038/mdu_elsberg_ver02/sn89060060/1860/08/23/ed-1/seq-2/1",NA,NA,NA,NA,NA,1118,229113,0,"sn89060060","Port Tobacco times, and Charles County advertiser. (Port Tobacco, M...)",1860,8,23,"seq-2","ed-1",1,"Maryland","14038_0",282
"115",14213,1836-11-09,"https://articleextractor.org/pages/14213/mimtptc_alpena_ver01/sn83016620/1836/11/09/ed-1/seq-1/1",NA,NA,NA,NA,NA,1139,234812,0,"sn83016620","Constantine republican (Constantine, Mi...)",1836,11,9,"seq-1","ed-1",1,"Michigan","14213_0",304
"116",14214,1837-12-21,"https://articleextractor.org/pages/14214/ct_barnum_ver01/sn84020071/1837/12/21/ed-1/seq-2/1",NA,NA,NA,NA,NA,1140,13180,0,"sn84020071","Litchfield enquirer (Litchfield, Con...)",1837,12,21,"seq-2","ed-1",1,"Connecticut","14214_0",305
"117",14215,1849-02-13,"https://articleextractor.org/pages/14215/dlc_basilisk_ver03/sn82003410/1849/02/13/ed-1/seq-3/1",NA,NA,NA,NA,NA,1141,38203,0,"sn82003410","The daily union (Washington [D.C...)",1849,2,13,"seq-3","ed-1",1,"District of Columbia","14215_0",306
"118",14216,1850-08-01,"https://articleextractor.org/pages/14216/me_calais_ver02/sn82014356/1850/08/01/ed-1/seq-3/1",NA,NA,NA,NA,NA,1142,231685,0,"sn82014356","Eastern times (Bath, Me.)",1850,8,1,"seq-3","ed-1",1,"Maine","14216_0",307
"119",14217,1850-11-11,"https://articleextractor.org/pages/14217/ohi_drake_ver01/sn85026203/1850/11/11/ed-1/seq-3/1",NA,NA,NA,NA,NA,1143,481067,0,"sn85026203","The Portsmouth inquirer (Portsmouth, O. ...)",1850,11,11,"seq-3","ed-1",1,"Ohio","14217_0",308
"120",14218,1850-01-14,"https://articleextractor.org/pages/14218/mohi_jerome_ver01/sn89066057/1850/01/14/ed-1/seq-2/1",NA,NA,NA,NA,NA,1144,314682,0,"sn89066057","Democratic banner. (Bowling Green, ...)",1850,1,14,"seq-2","ed-1",1,"Missouri","14218_0",309
"121",14219,1851-04-25,"https://articleextractor.org/pages/14219/iahi_bellsprout_ver01/sn86081965/1851/04/25/ed-1/seq-3/1",NA,NA,NA,NA,NA,1145,94854,0,"sn86081965","Des Moines courier. ([Ottumwa] Iowa)",1851,4,25,"seq-3","ed-1",1,"Iowa","14219_0",310
"122",14220,1851-06-25,"https://articleextractor.org/pages/14220/pst_fenske_ver02/sn85055197/1851/06/25/ed-1/seq-4/1",NA,NA,NA,NA,NA,1146,521516,0,"sn85055197","Lewisburg chronicle (Lewisburg, Pa.)",1851,6,25,"seq-4","ed-1",1,"Pennsylvania","14220_0",311
"123",14222,1851-09-24,"https://articleextractor.org/pages/14222/dlc_dragon_ver01/sn82014434/1851/09/24/ed-1/seq-3/1",NA,NA,NA,NA,NA,1147,41086,0,"sn82014434","The republic (Washington [D.C...)",1851,9,24,"seq-3","ed-1",1,"District of Columbia","14222_0",312
"124",14223,1856-11-13,"https://articleextractor.org/pages/14223/vi_manowar_ver01/sn84024738/1856/11/13/ed-1/seq-2/1",NA,NA,NA,NA,NA,1148,643462,0,"sn84024738","The daily dispatch (Richmond [Va.])",1856,11,13,"seq-2","ed-1",1,"Virginia","14223_0",313
"125",14224,1857-07-16,"https://articleextractor.org/pages/14224/ohi_edgar_ver01/sn84028820/1857/07/16/ed-1/seq-2/1",NA,NA,NA,NA,NA,1149,485319,0,"sn84028820","Holmes County Republican (Millersburg, Ho...)",1857,7,16,"seq-2","ed-1",1,"Ohio","14224_0",314
"126",14225,1857-06-17,"https://articleextractor.org/pages/14225/ncu_alligator_ver01/sn84045030/1857/06/17/ed-1/seq-4/1",NA,NA,NA,NA,NA,1150,363890,0,"sn84045030","Weekly North Carolina standard (Raleigh, N.C.)",1857,6,17,"seq-4","ed-1",1,"North Carolina","14225_0",315
"127",14226,1861-01-17,"https://articleextractor.org/pages/14226/dlc_leonberger_ver03/sn83045462/1861/01/17/ed-1/seq-2/1",NA,NA,NA,NA,NA,1151,54701,0,"sn83045462","Evening star (Washington, D.C...)",1861,1,17,"seq-2","ed-1",1,"District of Columbia","14226_0",316
"128",14228,1861-10-08,"https://articleextractor.org/pages/14228/dlc_leonberger_ver03/sn83045462/1861/10/08/ed-1/seq-2/1",NA,NA,NA,NA,NA,1152,54824,0,"sn83045462","Evening star (Washington, D.C...)",1861,10,8,"seq-2","ed-1",1,"District of Columbia","14228_0",317
"129",14655,1857-07-30,"https://articleextractor.org/pages/14655/whi_dynamite_ver01/sn85040308/1857/07/30/ed-1/seq-2/1",NA,NA,NA,NA,NA,1528,691159,0,"sn85040308","Kenosha tribune & telegraph (Kenosha, Wis.)",1857,7,30,"seq-2","ed-1",1,"Wisconsin","14655_0",697
"130",14780,1859-03-03,"https://articleextractor.org/pages/14780/ohi_guildenstern_ver01/sn88077413/1859/03/03/ed-1/seq-4/1",NA,NA,NA,NA,NA,1654,492254,0,"sn88077413","The daily press. (Cincinnati [Ohi...)",1859,3,3,"seq-4","ed-1",1,"Ohio","14780_0",823
"131",14783,1858-09-24,"https://articleextractor.org/pages/14783/lu_qualchan_ver01/sn82015753/1858/09/24/ed-1/seq-1/1",NA,NA,NA,NA,NA,1656,227786,0,"sn82015753","New Orleans daily crescent ([New Orleans, L...)",1858,9,24,"seq-1","ed-1",1,"Louisiana","14783_0",825
"132",14784,1858-12-21,"https://articleextractor.org/pages/14784/lu_qualchan_ver01/sn82015753/1858/12/21/ed-1/seq-3/1",NA,NA,NA,NA,NA,1657,227815,0,"sn82015753","New Orleans daily crescent ([New Orleans, L...)",1858,12,21,"seq-3","ed-1",1,"Louisiana","14784_0",826
"133",14787,1857-06-18,"https://articleextractor.org/pages/14787/deu_kedavra_ver01/sn84020401/1857/06/18/ed-1/seq-3/1",NA,NA,NA,NA,NA,1658,36412,0,"sn84020401","Delaware weekly Republican (Wilmington, Del...)",1857,6,18,"seq-3","ed-1",1,"Delaware","14787_0",827
"134",14788,1857-05-18,"https://articleextractor.org/pages/14788/iahi_gastly_ver01/sn82014134/1857/05/18/ed-1/seq-2/1",NA,NA,NA,NA,NA,1659,116808,0,"sn82014134","Daily Iowa State Democrat (Davenport, Iowa)",1857,5,18,"seq-2","ed-1",1,"Iowa","14788_0",828
"135",14789,1857-04-24,"https://articleextractor.org/pages/14789/iahi_charizard_ver01/sn84027237/1857/04/24/ed-1/seq-2/1",NA,NA,NA,NA,NA,1660,99141,0,"sn84027237","The north Iowa times (M'Gregor [i.e. ...)",1857,4,24,"seq-2","ed-1",1,"Iowa","14789_0",829
"136",14790,1857-09-26,"https://articleextractor.org/pages/14790/iahi_bellsprout_ver01/sn84027253/1857/09/26/ed-1/seq-2/1",NA,NA,NA,NA,NA,1661,88302,0,"sn84027253","Muscatine weekly journal (Muscatine, Iowa)",1857,9,26,"seq-2","ed-1",1,"Iowa","14790_0",830
"137",14791,1857-08-14,"https://articleextractor.org/pages/14791/lu_pearse_ver01/sn82015753/1857/08/14/ed-1/seq-1/1",NA,NA,NA,NA,NA,1662,227695,0,"sn82015753","New Orleans daily crescent ([New Orleans, L...)",1857,8,14,"seq-1","ed-1",1,"Louisiana","14791_0",831
"138",14792,1836-08-13,"https://articleextractor.org/pages/14792/wvu_queen_ver01/sn84026826/1836/08/13/ed-1/seq-1/1",NA,NA,NA,NA,NA,1663,701332,0,"sn84026826","South Branch intelligencer (Romney, Va. [W....)",1836,8,13,"seq-1","ed-1",1,"West Virginia","14792_0",832
"139",16740,1854-01-20,"https://articleextractor.org/pages/16740/vtu_adamant_ver01/sn84023127/1854/01/20/ed-1/seq-4/1",NA,NA,NA,NA,NA,1664,652155,0,"sn84023127","Burlington free press (Burlington, Vt.)",1854,1,20,"seq-4","ed-1",1,"Vermont","16740_0",833
"140",16741,1805-01-14,"https://articleextractor.org/pages/16741/dlc_domestic_ver01/sn83045242/1805/01/14/ed-1/seq-3/1",NA,NA,NA,NA,NA,1665,40945,0,"sn83045242","The national intelligencer and Washington advertiser (Washington City...)",1805,1,14,"seq-3","ed-1",1,"District of Columbia","16741_0",834
"141",16742,1805-01-19,"https://articleextractor.org/pages/16742/vi_otters_ver02/sn84024710/1805/01/19/ed-1/seq-3/1",NA,NA,NA,NA,NA,1666,648991,0,"sn84024710","Virginia Argus (Richmond, Va.)",1805,1,19,"seq-3","ed-1",1,"Virginia","16742_0",835
"142",16744,1805-02-01,"https://articleextractor.org/pages/16744/wvu_hogan_ver01/sn85059525/1805/02/01/ed-1/seq-2/2",NA,NA,NA,NA,NA,1667,699135,0,"sn85059525","Berkeley and Jefferson intelligencer (Martinsburg, Va...)",1805,2,1,"seq-2","ed-1",2,"Virginia","16744_0",836
"143",16745,1835-07-23,"https://articleextractor.org/pages/16745/vi_dartmoor_ver03/sn84024649/1835/07/23/ed-1/seq-2/1",NA,NA,NA,NA,NA,1668,630085,0,"sn84024649","Lynchburg Virginian (Lynchburg [Va.])",1835,7,23,"seq-2","ed-1",1,"Virginia","16745_0",837
"144",16746,1835-07-31,"https://articleextractor.org/pages/16746/arhi_elvis_ver01/sn87062070/1835/07/31/ed-1/seq-2/1",NA,NA,NA,NA,NA,1669,1648,0,"sn87062070","The Arkansas advocate (Little Rock, A....)",1835,7,31,"seq-2","ed-1",1,"Arkansas","16746_0",838
"145",16747,1835-08-01,"https://articleextractor.org/pages/16747/wvu_queen_ver01/sn84026826/1835/08/01/ed-1/seq-2/1",NA,NA,NA,NA,NA,1670,701256,0,"sn84026826","South Branch intelligencer (Romney, Va. [W....)",1835,8,1,"seq-2","ed-1",1,"West Virginia","16747_0",839
"146",16748,1835-09-05,"https://articleextractor.org/pages/16748/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-2/1",NA,NA,NA,NA,NA,1671,701283,0,"sn84026826","South Branch intelligencer (Romney, Va. [W....)",1835,9,5,"seq-2","ed-1",1,"West Virginia","16748_0",840
"147",16751,1835-09-05,"https://articleextractor.org/pages/16751/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-3/3",NA,NA,NA,NA,NA,1672,701300,0,"sn84026826","South Branch intelligencer (Romney, Va. [W....)",1835,9,5,"seq-3","ed-1",3,"West Virginia","16751_0",841
"148",16753,1835-09-08,"https://articleextractor.org/pages/16753/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/4",NA,NA,NA,NA,NA,1673,648504,0,"sn84024735","Richmond enquirer (Richmond, Va.)",1835,9,8,"seq-4","ed-1",4,"Virginia","16753_0",842
"149",16756,1835-09-12,"https://articleextractor.org/pages/16756/wvu_queen_ver01/sn84026826/1835/09/12/ed-1/seq-2/2",NA,NA,NA,NA,NA,1674,701309,0,"sn84026826","South Branch intelligencer (Romney, Va. [W....)",1835,9,12,"seq-2","ed-1",2,"West Virginia","16756_0",843
"150",16757,1835-09-29,"https://articleextractor.org/pages/16757/vi_armani_ver02/sn84024735/1835/09/29/ed-1/seq-4/1",NA,NA,NA,NA,NA,1675,626630,0,"sn84024735","Richmond enquirer (Richmond, Va.)",1835,9,29,"seq-4","ed-1",1,"Virginia","16757_0",844
"151",16761,1859-01-05,"https://articleextractor.org/pages/16761/arhi_charmander_ver01/sn82014282/1859/01/05/ed-1/seq-2/1",NA,NA,NA,NA,NA,1679,1081,0,"sn82014282","Arkansas true Democrat (Little Rock, Ar...)",1859,1,5,"seq-2","ed-1",1,"Arkansas","16761_0",848
"152",16763,1854-10-25,"https://articleextractor.org/pages/16763/arhi_charmander_ver01/sn84022882/1854/10/25/ed-1/seq-2/1",NA,NA,NA,NA,NA,1681,1105,0,"sn84022882","The true Democrat (Little Rock, Ar...)",1854,10,25,"seq-2","ed-1",1,"Arkansas","16763_0",850
"153",16764,1856-12-02,"https://articleextractor.org/pages/16764/arhi_charmander_ver01/sn84022882/1856/12/02/ed-1/seq-2/1",NA,NA,NA,NA,NA,1682,1217,0,"sn84022882","The true Democrat (Little Rock, Ar...)",1856,12,2,"seq-2","ed-1",1,"Arkansas","16764_0",851
"154",16765,1854-10-25,"https://articleextractor.org/pages/16765/arhi_charmander_ver01/sn84022882/1854/10/25/ed-1/seq-3/1",NA,NA,NA,NA,NA,1683,1130,0,"sn84022882","The true Democrat (Little Rock, Ar...)",1854,10,25,"seq-3","ed-1",1,"Arkansas","16765_0",852
"155",16771,1837-08-09,"https://articleextractor.org/pages/16771/vtu_kirby_ver02/sn83025661/1837/08/09/ed-1/seq-2/1",NA,NA,NA,NA,NA,1685,669676,0,"sn83025661","Vermont telegraph (Brandon [Vt.])",1837,8,9,"seq-2","ed-1",1,"Vermont","16771_0",854
"156",16772,1839-04-12,"https://articleextractor.org/pages/16772/vtu_adamant_ver01/sn84023127/1839/04/12/ed-1/seq-2/1",NA,NA,NA,NA,NA,1686,651018,0,"sn84023127","Burlington free press (Burlington, Vt.)",1839,4,12,"seq-2","ed-1",1,"Vermont","16772_0",855
"157",16773,1839-06-07,"https://articleextractor.org/pages/16773/lu_sands_ver01/sn83016527/1839/06/07/ed-1/seq-2/1",NA,NA,NA,NA,NA,1687,228185,0,"sn83016527","True American (New Orleans [La...)",1839,6,7,"seq-2","ed-1",1,"Louisiana","16773_0",856
"158",16774,1839-06-20,"https://articleextractor.org/pages/16774/wvu_jacob_ver01/sn84026784/1839/06/20/ed-1/seq-3/1",NA,NA,NA,NA,NA,1688,699872,0,"sn84026784",NA,1839,6,20,"seq-3","ed-1",1,"West Virginia","16774_0",857
"159",16777,1844-08-08,"https://articleextractor.org/pages/16777/ct_barnum_ver01/sn84020071/1844/08/08/ed-1/seq-3/1",NA,NA,NA,NA,NA,1689,13196,0,"sn84020071","Litchfield enquirer (Litchfield, Con...)",1844,8,8,"seq-3","ed-1",1,"Connecticut","16777_0",858
"160",16790,1841-07-22,"https://articleextractor.org/pages/16790/wvu_jacob_ver01/sn84026784/1841/07/22/ed-1/seq-1/1",NA,NA,NA,NA,NA,1692,699910,0,"sn84026784",NA,1841,7,22,"seq-1","ed-1",1,"West Virginia","16790_0",861
"161",16791,1841-09-01,"https://articleextractor.org/pages/16791/ncu_alligator_ver01/sn85042147/1841/09/01/ed-1/seq-4/1",NA,NA,NA,NA,NA,1693,364114,0,"sn85042147","The North-Carolina standard (Raleigh, N.C.)",1841,9,1,"seq-4","ed-1",1,"North Carolina","16791_0",862
"162",16792,1841-07-27,"https://articleextractor.org/pages/16792/whi_dynamite_ver01/sn85040303/1841/07/27/ed-1/seq-2/1",NA,NA,NA,NA,NA,1694,690677,0,"sn85040303","Southport telegraph (Southport, W.T....)",1841,7,27,"seq-2","ed-1",1,"Wisconsin","16792_0",863
"163",16793,1841-07-20,"https://articleextractor.org/pages/16793/whi_dynamite_ver01/sn85040303/1841/07/20/ed-1/seq-2/1",NA,NA,NA,NA,NA,1695,690666,0,"sn85040303","Southport telegraph (Southport, W.T....)",1841,7,20,"seq-2","ed-1",1,"Wisconsin","16793_0",864
"164",16794,1841-07-30,"https://articleextractor.org/pages/16794/msar_goldenharvest_ver01/sn87065204/1841/07/30/ed-1/seq-2/1",NA,NA,NA,NA,NA,1696,335193,0,"sn87065204",NA,1841,7,30,"seq-2","ed-1",1,"Mississippi","16794_0",865
"165",16795,1841-07-31,"https://articleextractor.org/pages/16795/wvu_dawson_ver01/sn84038585/1841/07/31/ed-1/seq-2/1",NA,NA,NA,NA,NA,1697,697004,0,"sn84038585","Wheeling times and advertiser (Wheeling, Va. [...)",1841,7,31,"seq-2","ed-1",1,"West Virginia","16795_0",866
"166",16796,1857-04-20,"https://articleextractor.org/pages/16796/lu_pearse_ver01/sn82015753/1857/04/20/ed-1/seq-1/1",NA,NA,NA,NA,NA,1698,227649,0,"sn82015753","New Orleans daily crescent ([New Orleans, L...)",1857,4,20,"seq-1","ed-1",1,"Louisiana","16796_0",867
"167",16797,1858-07-10,"https://articleextractor.org/pages/16797/lu_qualchan_ver01/sn82015753/1858/07/10/ed-1/seq-1/1",NA,NA,NA,NA,NA,1699,227732,0,"sn82015753","New Orleans daily crescent ([New Orleans, L...)",1858,7,10,"seq-1","ed-1",1,"Louisiana","16797_0",868
"168",16798,1858-07-12,"https://articleextractor.org/pages/16798/lu_qualchan_ver01/sn82015753/1858/07/12/ed-1/seq-1/1",NA,NA,NA,NA,NA,1700,227749,0,"sn82015753","New Orleans daily crescent ([New Orleans, L...)",1858,7,12,"seq-1","ed-1",1,"Louisiana","16798_0",869
"169",16800,1858-06-29,"https://articleextractor.org/pages/16800/lu_qualchan_ver01/sn82015753/1858/06/29/ed-1/seq-1/2",NA,NA,NA,NA,NA,1701,227712,0,"sn82015753","New Orleans daily crescent ([New Orleans, L...)",1858,6,29,"seq-1","ed-1",2,"Louisiana","16800_0",870
"170",16801,1841-10-05,"https://articleextractor.org/pages/16801/msar_kingsombra_ver01/sn83016884/1841/10/05/ed-1/seq-1/1",NA,NA,NA,NA,NA,1702,339366,0,"sn83016884","Southern Argus (Columbus, Miss.)",1841,10,5,"seq-1","ed-1",1,"Mississippi","16801_0",871
"171",16802,1841-09-24,"https://articleextractor.org/pages/16802/iahi_bellsprout_ver01/sn85050801/1841/09/24/ed-1/seq-2/1",NA,NA,NA,NA,NA,1703,94535,0,"sn85050801","Bloomington herald (Bloomington, I....)",1841,9,24,"seq-2","ed-1",1,"Iowa","16802_0",872
"172",16803,1841-09-18,"https://articleextractor.org/pages/16803/msar_eiffel_ver02/sn83016872/1841/09/18/ed-1/seq-3/1",NA,NA,NA,NA,NA,1704,330991,0,"sn83016872","The Mississippi Creole (Canton, Miss.)",1841,9,18,"seq-3","ed-1",1,"Mississippi","16803_0",873
"173",16804,1841-09-15,"https://articleextractor.org/pages/16804/ncu_alligator_ver01/sn85042147/1841/09/15/ed-1/seq-2/1",NA,NA,NA,NA,NA,1705,364454,0,"sn85042147","The North-Carolina standard (Raleigh, N.C.)",1841,9,15,"seq-2","ed-1",1,"North Carolina","16804_0",874
"174",16806,1841-09-02,"https://articleextractor.org/pages/16806/wvu_jacob_ver01/sn84026784/1841/09/02/ed-1/seq-1/1",NA,NA,NA,NA,NA,1706,699942,0,"sn84026784",NA,1841,9,2,"seq-1","ed-1",1,"West Virginia","16806_0",875
"175",16807,1842-01-18,"https://articleextractor.org/pages/16807/ohi_gann_ver01/sn83035312/1842/01/18/ed-1/seq-2/1",NA,NA,NA,NA,NA,1707,490376,0,"sn83035312","Democratic standard (Georgetown, Bro...)",1842,1,18,"seq-2","ed-1",1,"Ohio","16807_0",876
"176",16807,1842-01-18,"https://articleextractor.org/pages/16807/ohi_gann_ver01/sn83035312/1842/01/18/ed-1/seq-2/1",NA,NA,NA,NA,NA,1708,490387,1,"sn83035312","Democratic standard (Georgetown, Bro...)",1842,1,18,"seq-2","ed-1",1,"Ohio","16807_1",877
"177",16808,1841-12-28,"https://articleextractor.org/pages/16808/whi_dynamite_ver01/sn85040303/1841/12/28/ed-1/seq-1/1",NA,NA,NA,NA,NA,1709,690696,0,"sn85040303","Southport telegraph (Southport, W.T....)",1841,12,28,"seq-1","ed-1",1,"Wisconsin","16808_0",878
"178",16810,1842-07-20,"https://articleextractor.org/pages/16810/whi_dynamite_ver01/sn85040303/1842/07/20/ed-1/seq-1/1",NA,NA,NA,NA,NA,1710,690734,0,"sn85040303","Southport telegraph (Southport, W.T....)",1842,7,20,"seq-1","ed-1",1,"Wisconsin","16810_0",879
"179",16811,1842-05-30,"https://articleextractor.org/pages/16811/dlc_kudzu_ver01/sn83030313/1842/05/30/ed-1/seq-2/1",NA,NA,NA,NA,NA,1711,52278,0,"sn83030313","The New York herald (New York [N.Y.])",1842,5,30,"seq-2","ed-1",1,"New York","16811_0",880
"180",16812,1842-10-27,"https://articleextractor.org/pages/16812/ohi_cousteau_ver02/sn84028889/1842/10/27/ed-1/seq-2/1",NA,NA,NA,NA,NA,1712,475537,0,"sn84028889","The Ohio Democrat (Canal Dover, Oh...)",1842,10,27,"seq-2","ed-1",1,"Ohio","16812_0",881
"181",16813,1842-01-26,"https://articleextractor.org/pages/16813/vtu_kirby_ver02/sn83025661/1842/01/26/ed-1/seq-3/1",NA,NA,NA,NA,NA,1713,670943,0,"sn83025661","Vermont telegraph (Brandon [Vt.])",1842,1,26,"seq-3","ed-1",1,"Vermont","16813_0",882
"182",16813,1842-01-26,"https://articleextractor.org/pages/16813/vtu_kirby_ver02/sn83025661/1842/01/26/ed-1/seq-3/1",NA,NA,NA,NA,NA,1714,670701,1,"sn83025661","Vermont telegraph (Brandon [Vt.])",1842,1,26,"seq-3","ed-1",1,"Vermont","16813_1",883
"183",16813,1842-01-26,"https://articleextractor.org/pages/16813/vtu_kirby_ver02/sn83025661/1842/01/26/ed-1/seq-3/1",NA,NA,NA,NA,NA,1715,670945,2,"sn83025661","Vermont telegraph (Brandon [Vt.])",1842,1,26,"seq-3","ed-1",1,"Vermont","16813_2",884
"184",16813,1842-01-26,"https://articleextractor.org/pages/16813/vtu_kirby_ver02/sn83025661/1842/01/26/ed-1/seq-3/1",NA,NA,NA,NA,NA,1716,670706,3,"sn83025661","Vermont telegraph (Brandon [Vt.])",1842,1,26,"seq-3","ed-1",1,"Vermont","16813_3",885
"185",16814,1843-02-27,"https://articleextractor.org/pages/16814/dlc_kudzu_ver01/sn83030313/1843/02/27/ed-1/seq-2/1",NA,NA,NA,NA,NA,1717,52356,0,"sn83030313","The New York herald (New York [N.Y.])",1843,2,27,"seq-2","ed-1",1,"New York","16814_0",886
"186",16815,1843-03-10,"https://articleextractor.org/pages/16815/dlc_kudzu_ver01/sn83030313/1843/03/10/ed-1/seq-2/1",NA,NA,NA,NA,NA,1718,52442,0,"sn83030313","The New York herald (New York [N.Y.])",1843,3,10,"seq-2","ed-1",1,"New York","16815_0",887
"187",16816,1843-04-01,"https://articleextractor.org/pages/16816/whi_idlewild_ver01/sn87082160/1843/04/01/ed-1/seq-2/1",NA,NA,NA,NA,NA,1719,694092,0,"sn87082160","Grant County herald (Lancaster, W.T....)",1843,4,1,"seq-2","ed-1",1,"Wisconsin","16816_0",888
"188",16817,1843-03-01,"https://articleextractor.org/pages/16817/dlc_kudzu_ver01/sn83030313/1843/03/01/ed-1/seq-2/1",NA,NA,NA,NA,NA,1720,52405,0,"sn83030313","The New York herald (New York [N.Y.])",1843,3,1,"seq-2","ed-1",1,"New York","16817_0",889
"189",16820,1844-04-26,"https://articleextractor.org/pages/16820/dlc_kudzu_ver01/sn83030313/1844/04/26/ed-1/seq-1/1",NA,NA,NA,NA,NA,1721,52666,0,"sn83030313","The New York herald (New York [N.Y.])",1844,4,26,"seq-1","ed-1",1,"New York","16820_0",890
"190",16822,1841-07-29,"https://articleextractor.org/pages/16822/ohi_cousteau_ver02/sn84028889/1841/07/29/ed-1/seq-2/1",NA,NA,NA,NA,NA,1722,475520,0,"sn84028889","The Ohio Democrat (Canal Dover, Oh...)",1841,7,29,"seq-2","ed-1",1,"Ohio","16822_0",891
"191",16823,1839-06-18,"https://articleextractor.org/pages/16823/vi_aquasox_ver01/sn85025007/1839/06/18/ed-1/seq-2/1",NA,NA,NA,NA,NA,1723,626428,0,"sn85025007","Alexandria gazette (Alexandria, D.C...)",1839,6,18,"seq-2","ed-1",1,"District of Columbia","16823_0",892
"192",16824,1839-04-19,"https://articleextractor.org/pages/16824/vi_aquasox_ver01/sn85025007/1839/04/19/ed-1/seq-2/1",NA,NA,NA,NA,NA,1724,626396,0,"sn85025007","Alexandria gazette (Alexandria, D.C...)",1839,4,19,"seq-2","ed-1",1,"District of Columbia","16824_0",893
"193",16832,1841-12-02,"https://articleextractor.org/pages/16832/vi_bees_ver01/sn85025007/1841/12/02/ed-1/seq-1/1",NA,NA,NA,NA,NA,1735,627315,0,"sn85025007","Alexandria gazette (Alexandria, D.C...)",1841,12,2,"seq-1","ed-1",1,"District of Columbia","16832_0",904
"194",16833,1843-08-05,"https://articleextractor.org/pages/16833/vi_bees_ver01/sn85025007/1843/08/05/ed-1/seq-2/1",NA,NA,NA,NA,NA,1736,627374,0,"sn85025007","Alexandria gazette (Alexandria, D.C...)",1843,8,5,"seq-2","ed-1",1,"District of Columbia","16833_0",905
"195",16835,1844-06-28,"https://articleextractor.org/pages/16835/in_indianapolisolympians_ver02/sn86058217/1844/06/28/ed-1/seq-1/1",NA,NA,NA,NA,NA,1737,167332,0,"sn86058217","Richmond palladium (Richmond, IA [i...)",1844,6,28,"seq-1","ed-1",1,"Indiana","16835_0",906
"196",16837,1844-07-20,"https://articleextractor.org/pages/16837/mohi_henri_ver01/sn83016957/1844/07/20/ed-1/seq-2/1",NA,NA,NA,NA,NA,1738,311039,0,"sn83016957","Boon's Lick times (Fayette, Mo.)",1844,7,20,"seq-2","ed-1",1,"Missouri","16837_0",907
"197",16839,1846-03-25,"https://articleextractor.org/pages/16839/mdu_jalapeno_ver02/sn83009567/1846/03/25/ed-1/seq-1/1",NA,NA,NA,NA,NA,1739,230086,0,"sn83009567","American Republican and Baltimore daily clipper (Baltimore, Md.)",1846,3,25,"seq-1","ed-1",1,"Maryland","16839_0",908
