"newspaper","location","date","full_text"
"San Antonio daily light.","San Antonio, Tex.","April 09, 1895","San Antonio daily light. [volume] (San Antonio, Tex.), April 09, 1895, Image 5"
"The Dawson news.","Dawson, Ga.","April 17, 1895","The Dawson news. (Dawson, Ga.), April 17, 1895, Image 3"
"San Antonio daily light.","San Antonio, Tex.","June 28, 1895","San Antonio daily light. [volume] (San Antonio, Tex.), June 28, 1895, Image 1"
"The Topeka state journal.","Topeka, Kansas","June 12, 1895","The Topeka state journal. [volume] (Topeka, Kansas), June 12, 1895, NIGHT EDITION, Page 5, Image 5"
"The record-union.","Sacramento, Calif.","March 06, 1895","The record-union. [volume] (Sacramento, Calif.), March 06, 1895, Page 4, Image 4"
"Eagle River Democrat.","Eagle River, Vilas County, Wis.","June 17, 1895","Eagle River Democrat. [volume] (Eagle River, Vilas County, Wis.), June 17, 1895, Image 2"
"The gazette.","Cleveland, Ohio","June 29, 1895","The gazette. [volume] (Cleveland, Ohio), June 29, 1895, Image 1"
"The gazette.","Cleveland, Ohio","March 09, 1895","The gazette. [volume] (Cleveland, Ohio), March 09, 1895, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","February 09, 1895","The gazette. [volume] (Cleveland, Ohio), February 09, 1895, Page 2, Image 2"
"The Kimball graphic.","Kimball, Brule County, Dakota [S.D.]","July 06, 1895","The Kimball graphic. (Kimball, Brule County, Dakota [S.D.]), July 06, 1895, Image 2"
"The gazette.","Cleveland, Ohio","August 03, 1895","The gazette. [volume] (Cleveland, Ohio), August 03, 1895, Page 2, Image 2"
"Richmond planet.","Richmond, Va.","February 09, 1895","Richmond planet. [volume] (Richmond, Va.), February 09, 1895, Image 2"
"The morning news.","Savannah, Ga.","April 09, 1895","The morning news. [volume] (Savannah, Ga.), April 09, 1895, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","February 16, 1895","The gazette. [volume] (Cleveland, Ohio), February 16, 1895, Page 2, Image 2"
"The Emmett index.","Emmett, Idaho","October 12, 1895","The Emmett index. [volume] (Emmett, Idaho), October 12, 1895, Image 2"
"The gazette.","Cleveland, Ohio","October 05, 1895","The gazette. [volume] (Cleveland, Ohio), October 05, 1895, Page 3, Image 3"
"The freeman.","Indianapolis [Ind.]","July 06, 1895","The freeman. [volume] (Indianapolis [Ind.]), July 06, 1895, Image 5"
"The gazette.","Cleveland, Ohio","January 05, 1895","The gazette. [volume] (Cleveland, Ohio), January 05, 1895, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","April 13, 1895","The gazette. [volume] (Cleveland, Ohio), April 13, 1895, Page 2, Image 2"
"The morning call.","San Francisco [Calif.]","February 17, 1895","The morning call. [volume] (San Francisco [Calif.]), February 17, 1895, Page 6, Image 6"
"The record-union.","Sacramento, Calif.","March 04, 1895","The record-union. [volume] (Sacramento, Calif.), March 04, 1895, Page 3, Image 3"
"The Madison daily leader.","Madison, S.D.","June 29, 1895","The Madison daily leader. [volume] (Madison, S.D.), June 29, 1895, Image 1"
"Iowa state bystander.","Des Moines, Iowa","December 06, 1895","Iowa state bystander. [volume] (Des Moines, Iowa), December 06, 1895, Image 1"
"The freeman.","Indianapolis [Ind.]","February 02, 1895","The freeman. [volume] (Indianapolis [Ind.]), February 02, 1895, Image 4"
"The Globe-republican.","Dodge City, Kan.","June 21, 1895","The Globe-republican. [volume] (Dodge City, Kan.), June 21, 1895, Image 6"
"Lake Charles commercial.","Lake Charles, Calcasieu Parish, La.","April 13, 1895","Lake Charles commercial. (Lake Charles, Calcasieu Parish, La.), April 13, 1895, Image 2"
"The morning call.","San Francisco [Calif.]","February 26, 1895","The morning call. [volume] (San Francisco [Calif.]), February 26, 1895, Page 4, Image 4"
"Little Falls weekly transcript.","Little Falls, Morrison Co., Minn.","August 09, 1895","Little Falls weekly transcript. (Little Falls, Morrison Co., Minn.), August 09, 1895, Image 6"
"The American citizen.","Topeka, Kan.","July 05, 1895","The American citizen. [volume] (Topeka, Kan.), July 05, 1895, Image 2"
"The freeman.","Indianapolis [Ind.]","April 06, 1895","The freeman. [volume] (Indianapolis [Ind.]), April 06, 1895, Image 6"
"The freeman.","Indianapolis [Ind.]","April 13, 1895","The freeman. [volume] (Indianapolis [Ind.]), April 13, 1895, Image 1"
"The Roanoke times.","Roanoke, Va.","June 13, 1895","The Roanoke times. [volume] (Roanoke, Va.), June 13, 1895, Image 1"
"The evening bulletin.","Maysville, Ky.","June 28, 1895","The evening bulletin. [volume] (Maysville, Ky.), June 28, 1895, Image 4"
"The Princeton union.","Princeton, Minn.","July 04, 1895","The Princeton union. [volume] (Princeton, Minn.), July 04, 1895, Image 3"
"The Topeka state journal.","Topeka, Kansas","June 13, 1895","The Topeka state journal. [volume] (Topeka, Kansas), June 13, 1895, NIGHT EDITION, Page 4, Image 4"
"Rocky Ford enterprise.","Rocky Ford, Colo.","June 20, 1895","Rocky Ford enterprise. (Rocky Ford, Colo.), June 20, 1895, Image 1"
"The Meeker herald.","Meeker, Colo.","June 22, 1895","The Meeker herald. [volume] (Meeker, Colo.), June 22, 1895, Image 3"
"The Delta independent.","Delta, Colo.","June 19, 1895","The Delta independent. [volume] (Delta, Colo.), June 19, 1895, Image 3"
"Reporter and farmer.","Webster, Day County, Dakota [S.D.]","August 01, 1895","Reporter and farmer. [volume] (Webster, Day County, Dakota [S.D.]), August 01, 1895, Image 4"
"San Antonio daily light.","San Antonio, Tex.","June 16, 1895","San Antonio daily light. [volume] (San Antonio, Tex.), June 16, 1895, Image 1"
"The American citizen.","Topeka, Kan.","June 14, 1895","The American citizen. [volume] (Topeka, Kan.), June 14, 1895, Image 3"
"The freeman.","Indianapolis [Ind.]","June 22, 1895","The freeman. [volume] (Indianapolis [Ind.]), June 22, 1895, Image 7"
"The freeman.","Indianapolis [Ind.]","March 30, 1895","The freeman. [volume] (Indianapolis [Ind.]), March 30, 1895, Image 4"
"The freeman.","Indianapolis [Ind.]","January 19, 1895","The freeman. [volume] (Indianapolis [Ind.]), January 19, 1895, Image 3"
"The morning news.","Savannah, Ga.","June 20, 1895","The morning news. [volume] (Savannah, Ga.), June 20, 1895, Page 4, Image 4"
"The gazette.","Cleveland, Ohio","March 02, 1895","The gazette. [volume] (Cleveland, Ohio), March 02, 1895, Page 2, Image 2"
"The morning call.","San Francisco [Calif.]","February 24, 1895","The morning call. [volume] (San Francisco [Calif.]), February 24, 1895, Page 7, Image 7"
"Omaha daily bee.","Omaha [Neb.]","August 01, 1895","Omaha daily bee. (Omaha [Neb.]), August 01, 1895, Image 1"
"The Indianapolis journal.","Indianapolis [Ind.]","March 26, 1895","The Indianapolis journal. [volume] (Indianapolis [Ind.]), March 26, 1895, Page 4, Image 4"
"Evening star.","Washington, D.C.","August 01, 1895","Evening star. [volume] (Washington, D.C.), August 01, 1895, Page 9, Image 9"
"Springfield weekly Republican.","Springfield, Mass.","June 21, 1895","Springfield weekly Republican. [volume] (Springfield, Mass.), June 21, 1895, Page 5, Image 5"
"The morning news.","Savannah, Ga.","June 19, 1895","The morning news. [volume] (Savannah, Ga.), June 19, 1895, Image 1"
"The gazette.","Cleveland, Ohio","December 21, 1895","The gazette. [volume] (Cleveland, Ohio), December 21, 1895, Image 1"
"The Iola register.","Iola, Allen County, Kansas","June 21, 1895","The Iola register. [volume] (Iola, Allen County, Kansas), June 21, 1895, Image 6"
"The Hartford republican.","Hartford, Ky.","March 15, 1895","The Hartford republican. (Hartford, Ky.), March 15, 1895, Image 3"
"The San Francisco call.","San Francisco [Calif.]","June 15, 1895","The San Francisco call. [volume] (San Francisco [Calif.]), June 15, 1895, Page 2, Image 2"
"The Mitchell capital.","Mitchell, Dakota [S.D.]","August 09, 1895","The Mitchell capital. (Mitchell, Dakota [S.D.]), August 09, 1895, Image 6"
"The Seattle post-intelligencer.","Seattle, Wash. Terr. [Wash.]","June 25, 1895","The Seattle post-intelligencer. [volume] (Seattle, Wash. Terr. [Wash.]), June 25, 1895, Page 4, Image 4"
"St. Paul daily globe.","Saint Paul, Minn.","August 06, 1895","St. Paul daily globe. [volume] (Saint Paul, Minn.), August 06, 1895, Image 1"
"Iowa state bystander.","Des Moines, Iowa","June 21, 1895","Iowa state bystander. [volume] (Des Moines, Iowa), June 21, 1895, Image 1"
"Iowa state bystander.","Des Moines, Iowa","February 15, 1895","Iowa state bystander. [volume] (Des Moines, Iowa), February 15, 1895, Image 1"
"The Saratoga sun.","Saratoga, Carbon County, Wyo.","June 20, 1895","The Saratoga sun. (Saratoga, Carbon County, Wyo.), June 20, 1895, Image 2"
"The American citizen.","Topeka, Kan.","March 15, 1895","The American citizen. [volume] (Topeka, Kan.), March 15, 1895, Image 4"
"The record-union.","Sacramento, Calif.","March 05, 1895","The record-union. [volume] (Sacramento, Calif.), March 05, 1895, Page 4, Image 4"
"The morning call.","San Francisco [Calif.]","March 03, 1895","The morning call. [volume] (San Francisco [Calif.]), March 03, 1895, Page 8, Image 8"
"The Manning times.","Manning, Clarendon County, S.C.","April 17, 1895","The Manning times. [volume] (Manning, Clarendon County, S.C.), April 17, 1895, Image 1"
"The Marlboro democrat.","Bennettsville, S.C.","April 17, 1895","The Marlboro democrat. [volume] (Bennettsville, S.C.), April 17, 1895, Image 1"
"Kansas City daily journal.","Kansas City, Mo.","January 17, 1895","Kansas City daily journal. [volume] (Kansas City, Mo.), January 17, 1895, Page 4, Image 4"
"Barbour County index.","Medicine Lodge, Kan.","June 19, 1895","Barbour County index. [volume] (Medicine Lodge, Kan.), June 19, 1895, Image 4"
"St. Paul daily globe.","Saint Paul, Minn.","June 13, 1895","St. Paul daily globe. [volume] (Saint Paul, Minn.), June 13, 1895, Page 6, Image 6"
"The Seattle post-intelligencer.","Seattle, Wash. Terr. [Wash.]","August 06, 1895","The Seattle post-intelligencer. [volume] (Seattle, Wash. Terr. [Wash.]), August 06, 1895, Page 2, Image 2"
"The Dalles times-mountaineer.","The Dalles, Or.","January 19, 1895","The Dalles times-mountaineer. [volume] (The Dalles, Or.), January 19, 1895, Image 2"
"The Indianapolis journal.","Indianapolis [Ind.]","June 21, 1895","The Indianapolis journal. [volume] (Indianapolis [Ind.]), June 21, 1895, Page 4, Image 4"
"The Indianapolis journal.","Indianapolis [Ind.]","July 30, 1895","The Indianapolis journal. [volume] (Indianapolis [Ind.]), July 30, 1895, Page 2, Image 2"
"Evening star.","Washington, D.C.","August 06, 1895","Evening star. [volume] (Washington, D.C.), August 06, 1895, Page 9, Image 9"
"The gazette.","Cleveland, Ohio","May 18, 1895","The gazette. [volume] (Cleveland, Ohio), May 18, 1895, Page 2, Image 2"
"The pioneer express.","Pembina, Dakota [N.D.]","July 05, 1895","The pioneer express. [volume] (Pembina, Dakota [N.D.]), July 05, 1895, Image 1"
"Red Lodge picket.","Red Lodge, Mont.","January 19, 1895","Red Lodge picket. [volume] (Red Lodge, Mont.), January 19, 1895, Image 1"
"Chariton courier.","Keytesville, Chariton County, Mo.","July 05, 1895","Chariton courier. (Keytesville, Chariton County, Mo.), July 05, 1895, Image 4"
"Richmond planet.","Richmond, Va.","February 16, 1895","Richmond planet. [volume] (Richmond, Va.), February 16, 1895, Image 4"
"Richmond planet.","Richmond, Va.","February 23, 1895","Richmond planet. [volume] (Richmond, Va.), February 23, 1895, Image 4"
"Richmond planet.","Richmond, Va.","February 02, 1895","Richmond planet. [volume] (Richmond, Va.), February 02, 1895, Image 4"
"Richmond planet.","Richmond, Va.","February 09, 1895","Richmond planet. [volume] (Richmond, Va.), February 09, 1895, Image 4"
"Iowa state bystander.","Des Moines, Iowa","January 11, 1895","Iowa state bystander. [volume] (Des Moines, Iowa), January 11, 1895, Image 1"
"Richmond planet.","Richmond, Va.","March 30, 1895","Richmond planet. [volume] (Richmond, Va.), March 30, 1895, Image 4"
"Richmond planet.","Richmond, Va.","April 27, 1895","Richmond planet. [volume] (Richmond, Va.), April 27, 1895, Image 4"
"Richmond planet.","Richmond, Va.","May 18, 1895","Richmond planet. [volume] (Richmond, Va.), May 18, 1895, Image 2"
"Richmond planet.","Richmond, Va.","June 01, 1895","Richmond planet. [volume] (Richmond, Va.), June 01, 1895, Image 2"
"Richmond planet.","Richmond, Va.","June 22, 1895","Richmond planet. [volume] (Richmond, Va.), June 22, 1895, Image 3"
"The freeman.","Indianapolis [Ind.]","February 09, 1895","The freeman. [volume] (Indianapolis [Ind.]), February 09, 1895, Image 1"
"Pine Bluff daily graphic.","Pine Bluff, Ark.","July 15, 1895","Pine Bluff daily graphic. (Pine Bluff, Ark.), July 15, 1895, Image 3"
"Richmond planet.","Richmond, Va.","June 29, 1895","Richmond planet. [volume] (Richmond, Va.), June 29, 1895, Image 3"
"The Jersey City news.","Jersey City [N.J.]","April 08, 1895","The Jersey City news. (Jersey City [N.J.]), April 08, 1895, LAST EDITION, Image 4"
"The Salt Lake herald.","Salt Lake City [Utah]","August 06, 1895","The Salt Lake herald. [volume] (Salt Lake City [Utah]), August 06, 1895, Page 2, Image 2"
"The freeman.","Indianapolis [Ind.]","December 05, 1896","The freeman. [volume] (Indianapolis [Ind.]), December 05, 1896, Image 1"
"The freeman.","Indianapolis [Ind.]","March 21, 1896","The freeman. [volume] (Indianapolis [Ind.]), March 21, 1896, Image 8"
"The Washington bee.","Washington, D.C.","August 01, 1896","The Washington bee. [volume] (Washington, D.C.), August 01, 1896, Page 4, Image 4"
"Iowa state bystander.","Des Moines, Iowa","February 21, 1896","Iowa state bystander. [volume] (Des Moines, Iowa), February 21, 1896, Image 1"
"Iowa state bystander.","Des Moines, Iowa","January 31, 1896","Iowa state bystander. [volume] (Des Moines, Iowa), January 31, 1896, Image 1"
"The freeman.","Indianapolis [Ind.]","February 29, 1896","The freeman. [volume] (Indianapolis [Ind.]), February 29, 1896, Image 4"
"Evening star.","Washington, D.C.","July 24, 1896","Evening star. [volume] (Washington, D.C.), July 24, 1896, Page 12, Image 12"
"Evening star.","Washington, D.C.","July 07, 1896","Evening star. [volume] (Washington, D.C.), July 07, 1896, Page 10, Image 10"
"Iowa state bystander.","Des Moines, Iowa","October 23, 1896","Iowa state bystander. [volume] (Des Moines, Iowa), October 23, 1896, Image 1"
"The freeman.","Indianapolis [Ind.]","January 04, 1896","The freeman. [volume] (Indianapolis [Ind.]), January 04, 1896, Image 4"
"Iowa state bystander.","Des Moines, Iowa","August 07, 1896","Iowa state bystander. [volume] (Des Moines, Iowa), August 07, 1896, Image 1"
"The freeman.","Indianapolis [Ind.]","May 30, 1896","The freeman. [volume] (Indianapolis [Ind.]), May 30, 1896, Image 2"
"The San Francisco call.","San Francisco [Calif.]","July 05, 1896","The San Francisco call. [volume] (San Francisco [Calif.]), July 05, 1896, Page 14, Image 14"
"Evening star.","Washington, D.C.","July 22, 1896","Evening star. [volume] (Washington, D.C.), July 22, 1896, Page 3, Image 3"
"The new dominion.","Morgantown, W. Va.","March 28, 1896","The new dominion. [volume] (Morgantown, W. Va.), March 28, 1896, Image 3"
"The freeman.","Indianapolis [Ind.]","October 16, 1897","The freeman. [volume] (Indianapolis [Ind.]), October 16, 1897, Image 4"
"The gazette.","Cleveland, Ohio","October 30, 1897","The gazette. [volume] (Cleveland, Ohio), October 30, 1897, Image 2"
"The freeman.","Indianapolis [Ind.]","October 30, 1897","The freeman. [volume] (Indianapolis [Ind.]), October 30, 1897, Image 5"
"The gazette.","Cleveland, Ohio","October 23, 1897","The gazette. [volume] (Cleveland, Ohio), October 23, 1897, Image 1"
"The freeman.","Indianapolis [Ind.]","August 28, 1897","The freeman. [volume] (Indianapolis [Ind.]), August 28, 1897, Image 4"
"The freeman.","Indianapolis [Ind.]","July 31, 1897","The freeman. [volume] (Indianapolis [Ind.]), July 31, 1897, Image 4"
"The freeman.","Indianapolis [Ind.]","January 30, 1897","The freeman. [volume] (Indianapolis [Ind.]), January 30, 1897, Image 7"
"The freeman.","Indianapolis [Ind.]","January 02, 1897","The freeman. [volume] (Indianapolis [Ind.]), January 02, 1897, Image 7"
"The Brunswick times.","Brunswick, Ga.","December 21, 1897","The Brunswick times. [volume] (Brunswick, Ga.), December 21, 1897, Image 4"
"The gazette.","Cleveland, Ohio","September 25, 1897","The gazette. [volume] (Cleveland, Ohio), September 25, 1897, Image 1"
"The gazette.","Cleveland, Ohio","September 18, 1897","The gazette. [volume] (Cleveland, Ohio), September 18, 1897, Image 2"
"Iowa state bystander.","Des Moines, Iowa","October 22, 1897","Iowa state bystander. [volume] (Des Moines, Iowa), October 22, 1897, Image 4"
"The gazette.","Cleveland, Ohio","December 04, 1897","The gazette. [volume] (Cleveland, Ohio), December 04, 1897, Image 2"
"The gazette.","Cleveland, Ohio","January 16, 1897","The gazette. [volume] (Cleveland, Ohio), January 16, 1897, Image 1"
"The American citizen.","Topeka, Kan.","March 12, 1897","The American citizen. [volume] (Topeka, Kan.), March 12, 1897, Image 2"
"The freeman.","Indianapolis [Ind.]","May 08, 1897","The freeman. [volume] (Indianapolis [Ind.]), May 08, 1897, Image 4"
"Washington standard.","Olympia, Wash. Territory","July 30, 1897","Washington standard. [volume] (Olympia, Wash. Territory), July 30, 1897, Image 2"
"The freeman.","Indianapolis [Ind.]","October 30, 1897","The freeman. [volume] (Indianapolis [Ind.]), October 30, 1897, Image 4"
"Richmond planet.","Richmond, Va.","January 23, 1897","Richmond planet. [volume] (Richmond, Va.), January 23, 1897, Image 1"
"Richmond planet.","Richmond, Va.","April 24, 1897","Richmond planet. [volume] (Richmond, Va.), April 24, 1897, Image 1"
"The gazette.","Raleigh, N.C.","May 29, 1897","The gazette. [volume] (Raleigh, N.C.), May 29, 1897, Image 1"
"The gazette.","Cleveland, Ohio","November 27, 1897","The gazette. [volume] (Cleveland, Ohio), November 27, 1897, Page 2, Image 2"
"Wheeling register.","Wheeling, W. Va.","August 18, 1897","Wheeling register. [volume] (Wheeling, W. Va.), August 18, 1897, Page 6, Image 6"
"Richmond planet.","Richmond, Va.","June 12, 1897","Richmond planet. [volume] (Richmond, Va.), June 12, 1897, Image 4"
"The evening bulletin.","Maysville, Ky.","March 22, 1898","The evening bulletin. [volume] (Maysville, Ky.), March 22, 1898, Image 1"
"The Washington bee.","Washington, D.C.","October 15, 1898","The Washington bee. [volume] (Washington, D.C.), October 15, 1898, Image 4"
"The evening times.","Washington, D.C.","December 29, 1898","The evening times. [volume] (Washington, D.C.), December 29, 1898, Image 1"
"The freeman.","Indianapolis [Ind.]","April 02, 1898","The freeman. [volume] (Indianapolis [Ind.]), April 02, 1898, Image 4"
"The gazette.","Cleveland, Ohio","October 29, 1898","The gazette. [volume] (Cleveland, Ohio), October 29, 1898, Image 1"
"Evening star.","Washington, D.C.","March 21, 1898","Evening star. [volume] (Washington, D.C.), March 21, 1898, Image 1"
"The Norfolk Virginian.","Norfolk, Va.","March 01, 1898","The Norfolk Virginian. [volume] (Norfolk, Va.), March 01, 1898, Page 3, Image 3"
"The weekly register.","Point Pleasant, Va. [W. Va.]","March 23, 1898","The weekly register. [volume] (Point Pleasant, Va. [W. Va.]), March 23, 1898, Image 2"
"The Appeal.","Saint Paul, Minn. ;","March 05, 1898","The Appeal. [volume] (Saint Paul, Minn. ;), March 05, 1898, Image 4"
"The Topeka state journal.","Topeka, Kansas","March 21, 1898","The Topeka state journal. [volume] (Topeka, Kansas), March 21, 1898, THIRD EDITION, Page 5, Image 5"
"The Appeal.","Saint Paul, Minn. ;","September 03, 1898","The Appeal. [volume] (Saint Paul, Minn. ;), September 03, 1898, Image 4"
"Iowa state bystander.","Des Moines, Iowa","April 01, 1898","Iowa state bystander. [volume] (Des Moines, Iowa), April 01, 1898, Image 1"
"The gazette.","Cleveland, Ohio","April 09, 1898","The gazette. [volume] (Cleveland, Ohio), April 09, 1898, Page 2, Image 2"
"Omaha daily bee.","Omaha [Neb.]","March 22, 1898","Omaha daily bee. (Omaha [Neb.]), March 22, 1898, Page 2, Image 2"
"The Indianapolis journal.","Indianapolis [Ind.]","March 22, 1898","The Indianapolis journal. [volume] (Indianapolis [Ind.]), March 22, 1898, Page 3, Image 3"
"The Topeka state journal.","Topeka, Kansas","March 01, 1898","The Topeka state journal. [volume] (Topeka, Kansas), March 01, 1898, THIRD EDITION, Image 1"
"The Wichita daily eagle.","Wichita, Kan.","March 22, 1898","The Wichita daily eagle. [volume] (Wichita, Kan.), March 22, 1898, Page 7, Image 7"
"Dakota farmers' leader.","Canton, S.D.","March 04, 1898","Dakota farmers' leader. (Canton, S.D.), March 04, 1898, Image 2"
"The times.","Washington [D.C.]","December 28, 1898","The times. [volume] (Washington [D.C.]), December 28, 1898, Page 3, Image 3"
"The Appeal.","Saint Paul, Minn. ;","August 12, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), August 12, 1899, Image 1"
"The Appeal.","Saint Paul, Minn. ;","August 19, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), August 19, 1899, Image 1"
"The Afro-American advance.","Minneapolis, Minn. ;","July 01, 1899","The Afro-American advance. [volume] (Minneapolis, Minn. ;), July 01, 1899, Image 1"
"The Appeal.","Saint Paul, Minn. ;","August 05, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), August 05, 1899, Image 2"
"The freeman.","Indianapolis [Ind.]","August 19, 1899","The freeman. [volume] (Indianapolis [Ind.]), August 19, 1899, Image 1"
"Iowa state bystander.","Des Moines, Iowa","February 03, 1899","Iowa state bystander. [volume] (Des Moines, Iowa), February 03, 1899, Image 1"
"The broad ax.","Salt Lake City, Utah","July 29, 1899","The broad ax. [volume] (Salt Lake City, Utah), July 29, 1899, Image 1"
"Iowa state bystander.","Des Moines, Iowa","September 15, 1899","Iowa state bystander. [volume] (Des Moines, Iowa), September 15, 1899, Image 4"
"Iowa state bystander.","Des Moines, Iowa","September 15, 1899","Iowa state bystander. [volume] (Des Moines, Iowa), September 15, 1899, Image 5"
"The broad ax.","Salt Lake City, Utah","July 15, 1899","The broad ax. [volume] (Salt Lake City, Utah), July 15, 1899, Image 1"
"The freeman.","Indianapolis [Ind.]","January 28, 1899","The freeman. [volume] (Indianapolis [Ind.]), January 28, 1899, Image 4"
"The freeman.","Indianapolis [Ind.]","September 02, 1899","The freeman. [volume] (Indianapolis [Ind.]), September 02, 1899, Image 1"
"The broad ax.","Salt Lake City, Utah","September 30, 1899","The broad ax. [volume] (Salt Lake City, Utah), September 30, 1899, Image 1"
"The gazette.","Cleveland, Ohio","July 22, 1899","The gazette. [volume] (Cleveland, Ohio), July 22, 1899, Page 3, Image 3"
"The Pioche weekly record.","Pioche, Nev.","December 14, 1899","The Pioche weekly record. [volume] (Pioche, Nev.), December 14, 1899, Image 2"
"Daily inter mountain.","Butte, Mont.","December 08, 1899","Daily inter mountain. [volume] (Butte, Mont.), December 08, 1899, Page 4, Image 4"
"The Appeal.","Saint Paul, Minn. ;","May 20, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), May 20, 1899, Image 2"
"The gazette.","Cleveland, Ohio","August 26, 1899","The gazette. [volume] (Cleveland, Ohio), August 26, 1899, Image 1"
"The Appeal.","Saint Paul, Minn. ;","September 02, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), September 02, 1899, Image 1"
"The Appeal.","Saint Paul, Minn. ;","September 09, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), September 09, 1899, Image 1"
"The Appeal.","Saint Paul, Minn. ;","May 27, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), May 27, 1899, Image 2"
"The Appeal.","Saint Paul, Minn. ;","August 26, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), August 26, 1899, Image 1"
"The Appeal.","Saint Paul, Minn. ;","February 04, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), February 04, 1899, Image 3"
"The Seattle post-intelligencer.","Seattle, Wash. Terr. [Wash.]","December 09, 1899","The Seattle post-intelligencer. [volume] (Seattle, Wash. Terr. [Wash.]), December 09, 1899, Page 9, Image 9"
"Iowa state bystander.","Des Moines, Iowa","August 04, 1899","Iowa state bystander. [volume] (Des Moines, Iowa), August 04, 1899, Image 1"
"Iowa state bystander.","Des Moines, Iowa","June 30, 1899","Iowa state bystander. [volume] (Des Moines, Iowa), June 30, 1899, Image 1"
"The Afro-American advance.","Minneapolis, Minn. ;","June 17, 1899","The Afro-American advance. [volume] (Minneapolis, Minn. ;), June 17, 1899, Image 2"
"The freeman.","Indianapolis [Ind.]","July 29, 1899","The freeman. [volume] (Indianapolis [Ind.]), July 29, 1899, Image 3"
"The gazette.","Cleveland, Ohio","July 29, 1899","The gazette. [volume] (Cleveland, Ohio), July 29, 1899, Page 3, Image 3"
"The freeman.","Indianapolis [Ind.]","July 22, 1899","The freeman. [volume] (Indianapolis [Ind.]), July 22, 1899, Image 1"
"Union gazette.","Corvallis, Benton County, Or.","December 15, 1899","Union gazette. [volume] (Corvallis, Benton County, Or.), December 15, 1899, Image 1"
"The Appeal.","Saint Paul, Minn. ;","November 04, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), November 04, 1899, Image 1"
"The Appeal.","Saint Paul, Minn. ;","June 24, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), June 24, 1899, Image 2"
"The Appeal.","Saint Paul, Minn. ;","January 21, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), January 21, 1899, Image 2"
"The Appeal.","Saint Paul, Minn. ;","February 11, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), February 11, 1899, Image 2"
"The Appeal.","Saint Paul, Minn. ;","July 15, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), July 15, 1899, Image 2"
"The Appeal.","Saint Paul, Minn. ;","June 03, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), June 03, 1899, Image 2"
"The Appeal.","Saint Paul, Minn. ;","January 14, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), January 14, 1899, Image 2"
"The Appeal.","Saint Paul, Minn. ;","February 25, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), February 25, 1899, Image 2"
"The Appeal.","Saint Paul, Minn. ;","July 01, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), July 01, 1899, Image 2"
"The gazette.","Cleveland, Ohio","August 05, 1899","The gazette. [volume] (Cleveland, Ohio), August 05, 1899, Page 4, Image 2"
"The Appeal.","Saint Paul, Minn. ;","October 07, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), October 07, 1899, Image 2"
"The gazette.","Cleveland, Ohio","June 17, 1899","The gazette. [volume] (Cleveland, Ohio), June 17, 1899, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","February 04, 1899","The gazette. [volume] (Cleveland, Ohio), February 04, 1899, Page 2, Image 2"
"The Appeal.","Saint Paul, Minn. ;","May 06, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), May 06, 1899, Image 4"
"The freeman.","Indianapolis [Ind.]","October 28, 1899","The freeman. [volume] (Indianapolis [Ind.]), October 28, 1899, Page 3, Image 3"
"The freeman.","Indianapolis [Ind.]","November 25, 1899","The freeman. [volume] (Indianapolis [Ind.]), November 25, 1899, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","August 12, 1899","The gazette. [volume] (Cleveland, Ohio), August 12, 1899, Image 1"
"The gazette.","Cleveland, Ohio","August 05, 1899","The gazette. [volume] (Cleveland, Ohio), August 05, 1899, Image 1"
"The gazette.","Cleveland, Ohio","July 29, 1899","The gazette. [volume] (Cleveland, Ohio), July 29, 1899, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","July 15, 1899","The gazette. [volume] (Cleveland, Ohio), July 15, 1899, Page 3, Image 3"
"The Appeal.","Saint Paul, Minn. ;","January 07, 1899","The Appeal. [volume] (Saint Paul, Minn. ;), January 07, 1899, Image 2"
"Iowa state bystander.","Des Moines, Iowa","August 18, 1899","Iowa state bystander. [volume] (Des Moines, Iowa), August 18, 1899, Image 4"
