"newspaper","location","date","full_text"
"The Omaha guide.","Omaha, Neb.","April 06, 1940","The Omaha guide. [volume] (Omaha, Neb.), April 06, 1940, CITY EDITION, Page 10, Image 10"
"The Omaha guide.","Omaha, Neb.","April 06, 1940","The Omaha guide. [volume] (Omaha, Neb.), April 06, 1940, CITY EDITION, Image 1"
"The Omaha guide.","Omaha, Neb.","October 12, 1940","The Omaha guide. [volume] (Omaha, Neb.), October 12, 1940, CITY EDITION, Page 2, Image 2"
"Sunday Chicago bee.","Chicago, Ill.","September 01, 1940","Sunday Chicago bee. [volume] (Chicago, Ill.), September 01, 1940, SECTION TWO, Page 16, Image 16"
"The Arkansas world.","Little Rock, Ark.","September 21, 1940","The Arkansas world. (Little Rock, Ark.), September 21, 1940, Page PAGE TWO, Image 2"
"The Phoenix index.","Phoenix, Ariz.","November 02, 1940","The Phoenix index. (Phoenix, Ariz.), November 02, 1940, Image 1"
"The Dayton forum.","Dayton, Ohio","March 29, 1940","The Dayton forum. [volume] (Dayton, Ohio), March 29, 1940, Image 5"
"The Northwest enterprise.","Seattle, Wash.","March 01, 1940","The Northwest enterprise. [volume] (Seattle, Wash.), March 01, 1940, Page 4, Image 4"
"Sunday Chicago bee.","Chicago, Ill.","July 21, 1940","Sunday Chicago bee. [volume] (Chicago, Ill.), July 21, 1940, SECTION TWO, Page 16, Image 16"
"The Phoenix index.","Phoenix, Ariz.","March 08, 1941","The Phoenix index. (Phoenix, Ariz.), March 08, 1941, Page PAGE THREE, Image 3"
"The Michigan chronicle.","Detroit, Mich.","November 21, 1942","The Michigan chronicle. [volume] (Detroit, Mich.), November 21, 1942, Page PAGE FOUR, Image 4"
"Minneapolis spokesman.","Minneapolis, Minn.","January 29, 1943","Minneapolis spokesman. [volume] (Minneapolis, Minn.), January 29, 1943, Image 2"
"St. Paul recorder.","St. Paul, Minn.","January 29, 1943","St. Paul recorder. [volume] (St. Paul, Minn.), January 29, 1943, Image 2"
"Jackson advocate.","Jackson, Miss.","January 15, 1944","Jackson advocate. [volume] (Jackson, Miss.), January 15, 1944, Page 2, Image 2"
"Minneapolis spokesman.","Minneapolis, Minn.","January 05, 1945","Minneapolis spokesman. [volume] (Minneapolis, Minn.), January 05, 1945, Image 1"
"The daily bulletin.","Dayton, Ohio","August 21, 1946","The daily bulletin. [volume] (Dayton, Ohio), August 21, 1946, Image 4"
"The Chicago star.","Chicago, Ill.","September 07, 1946","The Chicago star. (Chicago, Ill.), September 07, 1946, Image 8"
"Jackson advocate.","Jackson, Miss.","May 25, 1946","Jackson advocate. [volume] (Jackson, Miss.), May 25, 1946, Page 6, Image 6"
"St. Paul recorder.","St. Paul, Minn.","March 29, 1946","St. Paul recorder. [volume] (St. Paul, Minn.), March 29, 1946, Image 1"
"Minneapolis spokesman.","Minneapolis, Minn.","March 29, 1946","Minneapolis spokesman. [volume] (Minneapolis, Minn.), March 29, 1946, Image 1"
"The Chicago star.","Chicago, Ill.","June 28, 1947","The Chicago star. (Chicago, Ill.), June 28, 1947, Page 2, Image 2"
"Chicago world.","Chicago, Ill.","June 25, 1949","Chicago world. (Chicago, Ill.), June 25, 1949, Image 2"
"Chicago world.","Chicago, Ill.","June 18, 1949","Chicago world. (Chicago, Ill.), June 18, 1949, SECTION TWO, Image 12"
"Jackson advocate.","Jackson, Miss.","April 29, 1950","Jackson advocate. [volume] (Jackson, Miss.), April 29, 1950, Page 4, Image 4"
"Jackson advocate.","Jackson, Miss.","March 10, 1962","Jackson advocate. [volume] (Jackson, Miss.), March 10, 1962, Page 7, Image 7"
