,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state
11834,9749,0,sn89060136,,1906,12,7,seq-2,ed-1,2,https://articleextractor.org/pages/9749/mdu_belair_ver01/sn89060136/12/7/ed-1/seq-2/2,Maryland
11835,9749,1,sn89060136,,1906,12,7,seq-2,ed-1,2,https://articleextractor.org/pages/9749/mdu_belair_ver01/sn89060136/12/7/ed-1/seq-2/2,Maryland
6247,9750,0,sn84025891,"The Washington bee (Washington, D.C...)",1907,7,13,seq-8,ed-1,2,https://articleextractor.org/pages/9750/dlc_india_ver01/sn84025891/7/13/ed-1/seq-8/2,District of Columbia
19865,9754,0,sn85038615,"The times dispatch (Richmond, Va.)",1907,7,28,seq-12,ed-1,2,https://articleextractor.org/pages/9754/vi_bristol_ver01/sn85038615/7/28/ed-1/seq-12/2,Virginia
12917,9758,0,sn90059522,"St. Paul daily globe (Saint Paul, Min...)",1889,1,18,seq-1,ed-1,5,https://articleextractor.org/pages/9758/mnhi_jeffers_ver01/sn90059522/1/18/ed-1/seq-1/5,Minnesota
12918,9758,1,sn90059522,"St. Paul daily globe (Saint Paul, Min...)",1889,1,18,seq-1,ed-1,5,https://articleextractor.org/pages/9758/mnhi_jeffers_ver01/sn90059522/1/18/ed-1/seq-1/5,Minnesota
6384,9760,0,sn84024441,"The evening times (Washington, D.C...)",1901,1,25,seq-7,ed-1,2,https://articleextractor.org/pages/9760/dlc_november_ver01/sn84024441/1/25/ed-1/seq-7/2,District of Columbia
11906,9761,1,sn83016348,"The Cecil Whig (Elkton, Md.)",1891,5,16,seq-3,ed-1,5,https://articleextractor.org/pages/9761/mdu_glass_ver02/sn83016348/5/16/ed-1/seq-3/5,Maryland
11907,9761,2,sn83016348,"The Cecil Whig (Elkton, Md.)",1891,5,16,seq-3,ed-1,5,https://articleextractor.org/pages/9761/mdu_glass_ver02/sn83016348/5/16/ed-1/seq-3/5,Maryland
9425,9762,0,sn82015679,The Indianapolis journal (Indianapolis [I...),1900,11,9,seq-2,ed-1,5,https://articleextractor.org/pages/9762/in_ittenbach_ver01/sn82015679/11/9/ed-1/seq-2/5,Indiana
12919,9763,0,sn86063381,"The Bemidji daily pioneer (Bemidji, Minn.)",1904,9,28,seq-1,ed-1,4,https://articleextractor.org/pages/9763/mnhi_jevne_ver02/sn86063381/9/28/ed-1/seq-1/4,Minnesota
14409,9764,0,sn95073194,,1891,11,25,seq-2,ed-1,5,https://articleextractor.org/pages/9764/nbu_abbott_ver01/sn95073194/11/25/ed-1/seq-2/5,Nebraska
13482,9765,0,sn84024283,"Iron County register (Ironton, Iron C...)",1907,1,3,seq-6,ed-1,2,https://articleextractor.org/pages/9765/mohi_igoo_ver01/sn84024283/1/3/ed-1/seq-6/2,Missouri
13484,9765,1,sn84024283,"Iron County register (Ironton, Iron C...)",1907,1,3,seq-6,ed-1,2,https://articleextractor.org/pages/9765/mohi_igoo_ver01/sn84024283/1/3/ed-1/seq-6/2,Missouri
13158,9766,0,sn90059522,"St. Paul daily globe (Saint Paul, Min...)",1895,11,28,seq-4,ed-1,4,https://articleextractor.org/pages/9766/mnhi_sebeka_ver01/sn90059522/11/28/ed-1/seq-4/4,Minnesota
19344,9767,0,sn86064239,,1920,5,7,seq-8,ed-1,2,https://articleextractor.org/pages/9767/txdn_dodge_ver01/sn86064239/5/7/ed-1/seq-8/2,Texas
13984,9768,0,sn87065167,,1910,8,17,seq-1,ed-1,2,https://articleextractor.org/pages/9768/msar_gabardine_ver01/sn87065167/8/17/ed-1/seq-1/2,Mississippi
19540,9771,0,sn86088651,"Bryan daily eagle and pilot (Bryan, Tex.)",1909,7,2,seq-1,ed-1,2,https://articleextractor.org/pages/9771/txdn_jaguar_ver01/sn86088651/7/2/ed-1/seq-1/2,Texas
11461,9772,0,sn85052076,"The citizen (Berea, Ky.)",1903,10,29,seq-6,ed-1,3,https://articleextractor.org/pages/9772/kyu_fleetwoodmac_ver01/sn85052076/10/29/ed-1/seq-6/3,Kentucky
11462,9772,1,sn85052076,"The citizen (Berea, Ky.)",1903,10,29,seq-6,ed-1,3,https://articleextractor.org/pages/9772/kyu_fleetwoodmac_ver01/sn85052076/10/29/ed-1/seq-6/3,Kentucky
16329,9773,0,sn87068192,,1908,10,22,seq-8,ed-1,2,https://articleextractor.org/pages/9773/njr_ketchup_ver01/sn87068192/10/22/ed-1/seq-8/2,New Jersey
16332,9773,1,sn87068192,,1908,10,22,seq-8,ed-1,2,https://articleextractor.org/pages/9773/njr_ketchup_ver01/sn87068192/10/22/ed-1/seq-8/2,New Jersey
8896,9775,0,sn86058242,"The Lake County times (Hammond, Ind.)",1909,10,18,seq-4,ed-1,2,https://articleextractor.org/pages/9775/in_dean_ver02/sn86058242/10/18/ed-1/seq-4/2,Indiana
14682,9776,0,00225879,,1917,10,13,seq-4,ed-1,3,https://articleextractor.org/pages/9776/nbu_indescribablebeast_ver01/00225879/10/13/ed-1/seq-4/3,Nebraska
3623,9777,0,sn86002159,"The Dolores star (Dolores, Montez...)",1908,10,30,seq-4,ed-1,2,https://articleextractor.org/pages/9777/cohi_alta_ver01/sn86002159/10/30/ed-1/seq-4/2,Colorado
5201,9778,0,sn85066387,The San Francisco call (San Francisco [...),1912,12,6,seq-2,ed-1,2,https://articleextractor.org/pages/9778/curiv_dardanelle_ver01/sn85066387/12/6/ed-1/seq-2/2,California
16476,9779,0,sn84020616,"Albuquerque citizen (Albuquerque, N....)",1907,12,27,seq-1,ed-1,2,https://articleextractor.org/pages/9779/nmu_ironweed_ver01/sn84020616/12/27/ed-1/seq-1/2,New Mexico
13649,9780,0,sn86074063,"The leader (Brookhaven, Mis...)",1898,1,19,seq-1,ed-1,2,https://articleextractor.org/pages/9780/msar_agate_ver01/sn86074063/1/19/ed-1/seq-1/2,Mississippi
11214,9782,0,sn86069457,"Crittenden press (Marion, Ky.)",1905,5,25,seq-2,ed-1,2,https://articleextractor.org/pages/9782/kyu_airplane_ver01/sn86069457/5/25/ed-1/seq-2/2,Kentucky
12803,9783,0,sn83016758,"The Princeton union (Princeton, Minn...)",1893,4,13,seq-2,ed-1,2,https://articleextractor.org/pages/9783/mnhi_goshen_ver01/sn83016758/4/13/ed-1/seq-2/2,Minnesota
4299,9784,0,sn82014086,"Norwich bulletin (Norwich, Conn.)",1912,5,28,seq-1,ed-1,3,https://articleextractor.org/pages/9784/ct_danbury_ver01/sn82014086/5/28/ed-1/seq-1/3,Connecticut
4300,9784,1,sn82014086,"Norwich bulletin (Norwich, Conn.)",1912,5,28,seq-1,ed-1,3,https://articleextractor.org/pages/9784/ct_danbury_ver01/sn82014086/5/28/ed-1/seq-1/3,Connecticut
17840,9786,0,sn93067853,"The Union times (Union, S.C.)",1906,10,12,seq-4,ed-1,1,https://articleextractor.org/pages/9786/scu_grandamericancoonhunt_ver01/sn93067853/10/12/ed-1/seq-4/1,South Carolina
17418,9787,0,sn88077573,,1907,11,5,seq-1,ed-1,1,https://articleextractor.org/pages/9787/ohi_juliet_ver01/sn88077573/11/5/ed-1/seq-1/1,Ohio
11471,9788,0,sn85052076,"The citizen (Berea, Ky.)",1908,7,30,seq-2,ed-1,1,https://articleextractor.org/pages/9788/kyu_fleetwoodmac_ver01/sn85052076/7/30/ed-1/seq-2/1,Kentucky
16281,9789,0,sn91064029,,1907,5,25,seq-7,ed-1,1,https://articleextractor.org/pages/9789/njr_gandolfini_ver01/sn91064029/5/25/ed-1/seq-7/1,New Jersey
6735,9790,0,sn82014546,"The Jeffersonian (Atlanta, Ga.)",1916,12,7,seq-1,ed-1,1,https://articleextractor.org/pages/9790/gu_fornax_ver01/sn82014546/12/7/ed-1/seq-1/1,Georgia
14077,9791,0,sn87065167,,1916,10,3,seq-6,ed-1,1,https://articleextractor.org/pages/9791/msar_ikat_ver01/sn87065167/10/3/ed-1/seq-6/1,Mississippi
15823,9792,0,sn87096017,"The Oakes times (Oakes, N.D.)",1908,4,2,seq-6,ed-1,1,https://articleextractor.org/pages/9792/ndhi_carbon_ver01/sn87096017/4/2/ed-1/seq-6/1,North Dakota
7983,9795,0,sn85050913,"Webster City freeman (Webster City, H...)",1911,8,29,seq-7,ed-1,1,https://articleextractor.org/pages/9795/iahi_hawkeye_ver01/sn85050913/8/29/ed-1/seq-7/1,Iowa
14932,9796,0,sn99021999,,1911,10,21,seq-15,ed-1,1,https://articleextractor.org/pages/9796/nbu_rosewater_ver01/sn99021999/10/21/ed-1/seq-15/1,Nebraska
11930,9798,0,sn88065731,,1916,10,11,seq-3,ed-1,1,https://articleextractor.org/pages/9798/mdu_jacobsen_ver01/sn88065731/10/11/ed-1/seq-3/1,Maryland
10363,9799,0,sn84020097,"The daily worker (Chicago, Ill.)",1930,11,29,seq-6,ed-1,1,https://articleextractor.org/pages/9799/iune_fluorite_ver01/sn84020097/11/29/ed-1/seq-6/1,Illinois
10364,9799,1,sn84020097,"The daily worker (Chicago, Ill.)",1930,11,29,seq-6,ed-1,1,https://articleextractor.org/pages/9799/iune_fluorite_ver01/sn84020097/11/29/ed-1/seq-6/1,Illinois
10365,9799,2,sn84020097,"The daily worker (Chicago, Ill.)",1930,11,29,seq-6,ed-1,1,https://articleextractor.org/pages/9799/iune_fluorite_ver01/sn84020097/11/29/ed-1/seq-6/1,Illinois
1896,9800,0,sn82015133,"Arizona weekly citizen (Tucson, Ariz)",1884,11,8,seq-1,ed-1,1,https://articleextractor.org/pages/9800/az_bobcat_ver01/sn82015133/11/8/ed-1/seq-1/1,Arizona
4822,9801,0,sn92051227,,1922,11,22,seq-1,ed-1,1,https://articleextractor.org/pages/9801/ct_lebanon_ver03/sn92051227/11/22/ed-1/seq-1/1,Connecticut
21606,9802,0,sn85059586,"Martinsburg W Va evening journal (Martinsburg, W....)",1919,12,16,seq-6,ed-1,1,https://articleextractor.org/pages/9802/wvu_els_ver01/sn85059586/12/16/ed-1/seq-6/1,West Virginia
21117,9803,0,sn87093407,"The Seattle star (Seattle, Wash.)",1918,4,5,seq-16,ed-1,1,https://articleextractor.org/pages/9803/wa_muddy_ver02/sn87093407/4/5/ed-1/seq-16/1,Washington
18282,9804,0,sn99062010,,1915,1,7,seq-2,ed-1,1,https://articleextractor.org/pages/9804/sdhi_kangaroo_ver01/sn99062010/1/7/ed-1/seq-2/1,South Dakota
10954,9805,0,sn82016014,"The Topeka state journal (Topeka, Kansas)",1900,9,21,seq-7,ed-1,1,https://articleextractor.org/pages/9805/khi_higuchi_ver01/sn82016014/9/21/ed-1/seq-7/1,Kansas
7466,9807,0,sn83025182,"The daily Gate City (Keokuk, Iowa)",1915,8,17,seq-2,ed-1,2,https://articleextractor.org/pages/9807/iahi_decorah_ver01/sn83025182/8/17/ed-1/seq-2/2,Iowa
7461,9807,1,sn83025182,"The daily Gate City (Keokuk, Iowa)",1915,8,17,seq-2,ed-1,2,https://articleextractor.org/pages/9807/iahi_decorah_ver01/sn83025182/8/17/ed-1/seq-2/2,Iowa
20074,9808,0,sn85025007,"Alexandria gazette (Alexandria, D.C...)",1909,3,1,seq-2,ed-1,1,https://articleextractor.org/pages/9808/vi_greenday_ver01/sn85025007/3/1/ed-1/seq-2/1,District of Columbia
14926,9809,0,sn99021999,,1909,4,16,seq-6,ed-1,1,https://articleextractor.org/pages/9809/nbu_quarrie_ver01/sn99021999/4/16/ed-1/seq-6/1,Nebraska
8859,9810,0,sn85047611,Indiana daily times (Indianapolis [I...),1921,8,3,seq-12,ed-1,1,https://articleextractor.org/pages/9810/in_collins_ver02/sn85047611/8/3/ed-1/seq-12/1,Indiana
10792,9811,0,sn82016014,"The Topeka state journal (Topeka, Kansas)",1911,1,16,seq-1,ed-1,1,https://articleextractor.org/pages/9811/khi_edelbrock_ver01/sn82016014/1/16/ed-1/seq-1/1,Kansas
21423,9812,0,sn85033255,"River Falls journal (River Falls, Pi...)",1910,6,23,seq-3,ed-1,1,https://articleextractor.org/pages/9812/whi_hegmeister_ver01/sn85033255/6/23/ed-1/seq-3/1,Wisconsin
4029,9813,0,sn90051167,,1916,1,7,seq-6,ed-1,1,https://articleextractor.org/pages/9813/cohi_leadville_ver01/sn90051167/1/7/ed-1/seq-6/1,Colorado
6969,9814,0,sn83025121,"The Hawaiian gazette (Honolulu [Oahu,...)",1916,2,29,seq-5,ed-1,1,https://articleextractor.org/pages/9814/hihouml_lilac_ver02/sn83025121/2/29/ed-1/seq-5/1,Hawaii
3897,9815,0,sn83025514,"The Colorado statesman (Denver, Colo.)",1911,10,21,seq-4,ed-1,1,https://articleextractor.org/pages/9815/cohi_hamilton_ver01/sn83025514/10/21/ed-1/seq-4/1,Colorado
20146,9816,0,sn85025007,"Alexandria gazette (Alexandria, D.C...)",1916,5,15,seq-3,ed-1,1,https://articleextractor.org/pages/9816/vi_isogawa_ver01/sn85025007/5/15/ed-1/seq-3/1,District of Columbia
10349,9817,0,sn84020097,"The daily worker (Chicago, Ill.)",1930,5,15,seq-2,ed-1,1,https://articleextractor.org/pages/9817/iune_fluorite_ver01/sn84020097/5/15/ed-1/seq-2/1,Illinois
10350,9817,1,sn84020097,"The daily worker (Chicago, Ill.)",1930,5,15,seq-2,ed-1,1,https://articleextractor.org/pages/9817/iune_fluorite_ver01/sn84020097/5/15/ed-1/seq-2/1,Illinois
14539,9818,0,sn99021999,,1921,12,2,seq-3,ed-1,1,https://articleextractor.org/pages/9818/nbu_easternredbud_ver01/sn99021999/12/2/ed-1/seq-3/1,Nebraska
21427,9820,0,sn86086499,"Wauwatosa news (Wauwatosa, Wis.)",1919,10,3,seq-1,ed-1,1,https://articleextractor.org/pages/9820/whi_hodag_ver01/sn86086499/10/3/ed-1/seq-1/1,Wisconsin
13713,9821,0,sn86074065,,1921,9,24,seq-1,ed-1,1,https://articleextractor.org/pages/9821/msar_beryl_ver01/sn86074065/9/24/ed-1/seq-1/1,Mississippi
4296,9822,0,sn92051283,,1923,2,2,seq-3,ed-1,1,https://articleextractor.org/pages/9822/ct_clash_ver01/sn92051283/2/2/ed-1/seq-3/1,Connecticut
801,9823,0,sn90050307,,1915,11,17,seq-4,ed-1,1,https://articleextractor.org/pages/9823/arhi_hypno_ver02/sn90050307/11/17/ed-1/seq-4/1,Arkansas
21465,9825,0,sn85033133,"Grant County herald (Lancaster, Wis.)",1889,9,12,seq-2,ed-1,1,https://articleextractor.org/pages/9825/whi_jyme_ver01/sn85033133/9/12/ed-1/seq-2/1,Wisconsin
21091,9826,0,sn87093407,"The Seattle star (Seattle, Wash.)",1915,4,2,seq-11,ed-1,1,https://articleextractor.org/pages/9826/wa_juanita_ver01/sn87093407/4/2/ed-1/seq-11/1,Washington
9827,9827,0,sn89080007,,1919,9,19,seq-1,ed-1,2,https://articleextractor.org/pages/9827/iune_amethyst_ver01/sn89080007/9/19/ed-1/seq-1/2,Illinois
19408,9828,0,sn88084272,,1918,5,23,seq-5,ed-1,1,https://articleextractor.org/pages/9828/txdn_greenland_ver01/sn88084272/5/23/ed-1/seq-5/1,Texas
19682,9829,0,sn85058396,"The Ogden standard (Ogden City, Utah) 1913-1920",1915,8,18,seq-10,ed-1,1,https://articleextractor.org/pages/9829/uuml_indurain_ver01/sn85058396/8/18/ed-1/seq-10/1,Utah
19688,9829,1,sn85058396,"The Ogden standard (Ogden City, Utah) 1913-1920",1915,8,18,seq-10,ed-1,1,https://articleextractor.org/pages/9829/uuml_indurain_ver01/sn85058396/8/18/ed-1/seq-10/1,Utah
4752,9830,0,sn92051227,,1919,10,3,seq-1,ed-1,1,https://articleextractor.org/pages/9830/ct_kent_ver01/sn92051227/10/3/ed-1/seq-1/1,Connecticut
12084,9831,0,sn92063852,,1948,12,11,seq-1,ed-1,1,https://articleextractor.org/pages/9831/mimtptc_albion_ver01/sn92063852/12/11/ed-1/seq-1/1,Michigan
13126,9832,0,sn90059228,"Warren sheaf (Warren, Marshal...)",1920,9,1,seq-7,ed-1,1,https://articleextractor.org/pages/9832/mnhi_quiring_ver01/sn90059228/9/1/ed-1/seq-7/1,Minnesota
10223,9833,0,sn84024055,"The broad ax (Salt Lake City,...)",1919,5,17,seq-4,ed-1,1,https://articleextractor.org/pages/9833/iune_charlie_ver01/sn84024055/5/17/ed-1/seq-4/1,Illinois
19137,9834,0,sn86090383,"Palestine daily herald (Palestine, Tex.)",1909,7,2,seq-2,ed-1,1,https://articleextractor.org/pages/9834/txdn_bravo_ver01/sn86090383/7/2/ed-1/seq-2/1,Texas
3629,9835,0,sn86002159,"The Dolores star (Dolores, Montez...)",1917,5,11,seq-5,ed-1,1,https://articleextractor.org/pages/9835/cohi_alta_ver01/sn86002159/5/11/ed-1/seq-5/1,Colorado
13994,9838,0,sn87065216,,1909,9,30,seq-2,ed-1,2,https://articleextractor.org/pages/9838/msar_hematite_ver01/sn87065216/9/30/ed-1/seq-2/2,Mississippi
6359,9839,0,sn83045462,"Evening star (Washington, D.C...)",1911,10,9,seq-4,ed-1,2,https://articleextractor.org/pages/9839/dlc_neptunian_ver01/sn83045462/10/9/ed-1/seq-4/2,District of Columbia
3637,9840,0,sn90051344,,1897,7,8,seq-2,ed-1,2,https://articleextractor.org/pages/9840/cohi_alta_ver01/sn90051344/7/8/ed-1/seq-2/2,Colorado
13119,9841,0,sn85025431,"Mower County transcript (Lansing, Minn.)",1888,1,11,seq-2,ed-1,2,https://articleextractor.org/pages/9841/mnhi_quasar_ver01/sn85025431/1/11/ed-1/seq-2/2,Minnesota
13117,9841,1,sn85025431,"Mower County transcript (Lansing, Minn.)",1888,1,11,seq-2,ed-1,2,https://articleextractor.org/pages/9841/mnhi_quasar_ver01/sn85025431/1/11/ed-1/seq-2/2,Minnesota
13118,9841,2,sn85025431,"Mower County transcript (Lansing, Minn.)",1888,1,11,seq-2,ed-1,2,https://articleextractor.org/pages/9841/mnhi_quasar_ver01/sn85025431/1/11/ed-1/seq-2/2,Minnesota
11428,9842,0,sn83004226,"The Big Sandy news (Louisa, Ky.)",1888,6,21,seq-2,ed-1,2,https://articleextractor.org/pages/9842/kyu_flamingo_ver01/sn83004226/6/21/ed-1/seq-2/2,Kentucky
13667,9843,0,sn83016943,"Macon beacon (Macon, Miss.)",1890,5,17,seq-1,ed-1,2,https://articleextractor.org/pages/9843/msar_applejack_ver01/sn83016943/5/17/ed-1/seq-1/2,Mississippi
21121,9844,0,sn85033078,Wood County reporter (Grand Rapids [i...),1889,10,3,seq-3,ed-1,2,https://articleextractor.org/pages/9844/whi_ada_ver01/sn85033078/10/3/ed-1/seq-3/2,Wisconsin
21122,9844,1,sn85033078,Wood County reporter (Grand Rapids [i...),1889,10,3,seq-3,ed-1,2,https://articleextractor.org/pages/9844/whi_ada_ver01/sn85033078/10/3/ed-1/seq-3/2,Wisconsin
11476,9845,0,sn86069117,"Daily public ledger (Maysville, Ky.)",1895,1,16,seq-1,ed-1,2,https://articleextractor.org/pages/9845/kyu_gandhi_ver01/sn86069117/1/16/ed-1/seq-1/2,Kentucky
21542,9846,0,sn86092536,"The Wheeling intelligencer (Wheeling, W. Va...)",1911,4,3,seq-1,ed-1,2,https://articleextractor.org/pages/9846/wvu_boreman_ver01/sn86092536/4/3/ed-1/seq-1/2,West Virginia
21543,9846,1,sn86092536,"The Wheeling intelligencer (Wheeling, W. Va...)",1911,4,3,seq-1,ed-1,2,https://articleextractor.org/pages/9846/wvu_boreman_ver01/sn86092536/4/3/ed-1/seq-1/2,West Virginia
21545,9846,2,sn86092536,"The Wheeling intelligencer (Wheeling, W. Va...)",1911,4,3,seq-1,ed-1,2,https://articleextractor.org/pages/9846/wvu_boreman_ver01/sn86092536/4/3/ed-1/seq-1/2,West Virginia
5785,9848,0,sn85042462,Los Angeles herald (Los Angeles [Calif.]) 1900-1911,1908,8,6,seq-10,ed-1,2,https://articleextractor.org/pages/9848/curiv_quailvalley_ver01/sn85042462/8/6/ed-1/seq-10/2,California
14516,9849,0,sn99021999,,1888,5,2,seq-1,ed-1,2,https://articleextractor.org/pages/9849/nbu_dewitt_ver01/sn99021999/5/2/ed-1/seq-1/2,Nebraska
14517,9849,1,sn99021999,,1888,5,2,seq-1,ed-1,2,https://articleextractor.org/pages/9849/nbu_dewitt_ver01/sn99021999/5/2/ed-1/seq-1/2,Nebraska
15048,9850,0,sn91068075,"The daily citizen (Asheville, N.C.)",1889,11,9,seq-1,ed-1,2,https://articleextractor.org/pages/9850/ncu_cane_ver01/sn91068075/11/9/ed-1/seq-1/2,North Carolina
13418,9851,0,sn87052181,Fair play (Ste. Genevieve ...),1888,4,21,seq-1,ed-1,2,https://articleextractor.org/pages/9851/mohi_gordon_ver01/sn87052181/4/21/ed-1/seq-1/2,Missouri
5870,9852,0,sn88053046,,1892,6,9,seq-8,ed-1,2,https://articleextractor.org/pages/9852/deu_horcrux_ver01/sn88053046/6/9/ed-1/seq-8/2,Delaware
5871,9852,1,sn88053046,,1892,6,9,seq-8,ed-1,2,https://articleextractor.org/pages/9852/deu_horcrux_ver01/sn88053046/6/9/ed-1/seq-8/2,Delaware
21199,9853,0,sn85040613,"Vilas County news (Eagle River, Vi...)",1901,12,16,seq-1,ed-1,2,https://articleextractor.org/pages/9853/whi_clearwater_ver01/sn85040613/12/16/ed-1/seq-1/2,Wisconsin
7042,9854,0,sn87058235,,1896,1,21,seq-6,ed-1,2,https://articleextractor.org/pages/9854/iahi_aerodactyl_ver01/sn87058235/1/21/ed-1/seq-6/2,Iowa
17835,13735,0,sn86071377,"The mountain sentinel (Ebensburg, Pa.)",1850,8,1,seq-3,ed-1,1,https://articleextractor.org/pages/13735/pst_kern_ver01/sn86071377/8/1/ed-1/seq-3/1,Pennsylvania
6141,13737,0,sn84031492,"Chicago daily tribune (Chicago, Ill.) 1872-1963",1874,9,28,seq-2,ed-1,1,https://articleextractor.org/pages/13737/dlc_fullerton_ver02/sn84031492/9/28/ed-1/seq-2/1,Illinois
6584,13743,0,sn95026977,"Gainesville daily sun. (Gainesville, Fl...)",1905,12,27,seq-1,ed-1,1,https://articleextractor.org/pages/13743/fu_six_ver01/sn95026977/12/27/ed-1/seq-1/1,Florida
20467,13744,0,sn91066782,,1907,4,4,seq-1,ed-1,1,https://articleextractor.org/pages/13744/vtu_broccoli_ver01/sn91066782/4/4/ed-1/seq-1/1,Vermont
18252,13748,0,sn98062890,,1911,9,7,seq-6,ed-1,1,https://articleextractor.org/pages/13748/sdhi_interceptor_ver01/sn98062890/9/7/ed-1/seq-6/1,South Dakota
6290,13752,0,sn83030313,The New York herald (New York [N.Y.]),1843,5,14,seq-2,ed-1,1,https://articleextractor.org/pages/13752/dlc_kudzu_ver01/sn83030313/5/14/ed-1/seq-2/1,New York
6336,13753,0,sn83030313,The New York herald (New York [N.Y.]),1848,7,9,seq-2,ed-1,1,https://articleextractor.org/pages/13753/dlc_marcus_ver01/sn83030313/7/9/ed-1/seq-2/1,New York
17106,13757,0,sn85026105,"American Lancaster gazette (Lancaster, Ohio)",1856,2,28,seq-1,ed-1,1,https://articleextractor.org/pages/13757/ohi_drake_ver01/sn85026105/2/28/ed-1/seq-1/1,Ohio
16844,13759,0,sn83035487,"Anti-slavery bugle (New-Lisbon, Ohi...)",1858,7,17,seq-1,ed-1,1,https://articleextractor.org/pages/13759/ohi_ariel_ver02/sn83035487/7/17/ed-1/seq-1/1,Ohio
17086,13762,0,sn83035143,Cleveland morning leader (Cleveland [Ohio...),1859,4,1,seq-3,ed-1,1,https://articleextractor.org/pages/13762/ohi_desdemona_ver01/sn83035143/4/1/ed-1/seq-3/1,Ohio
16971,13763,0,sn85026192,"The Perrysburg journal (Perrysburg, Ohi...)",1859,7,28,seq-3,ed-1,1,https://articleextractor.org/pages/13763/ohi_cobweb_ver04/sn85026192/7/28/ed-1/seq-3/1,Ohio
17291,13766,0,sn84028745,Cincinnati daily press (Cincinnati [Ohi...),1860,10,6,seq-1,ed-1,1,https://articleextractor.org/pages/13766/ohi_guildenstern_ver01/sn84028745/10/6/ed-1/seq-1/1,Ohio
17842,13767,0,2012218613,"The Fairfield news and herald. (Winnsboro, S.C.)",1885,9,30,seq-4,ed-1,1,https://articleextractor.org/pages/13767/scu_henryjohnson_ver01/2012218613/9/30/ed-1/seq-4/1,South Carolina
12538,13768,0,sn85025569,"Red Wing sentinel (Red Wing, M.T. ...)",1861,1,2,seq-2,ed-1,1,https://articleextractor.org/pages/13768/mnhi_datsun_ver01/sn85025569/1/2/ed-1/seq-2/1,Minnesota
18745,13770,0,sn83025718,"The Nashville daily union (Nashville, Tenn...)",1862,8,15,seq-2,ed-1,1,https://articleextractor.org/pages/13770/tu_grady_ver01/sn83025718/8/15/ed-1/seq-2/1,Tennessee
17317,13772,0,sn85026002,Dayton daily empire (Dayton [Ohio]),1863,3,17,seq-4,ed-1,1,https://articleextractor.org/pages/13772/ohi_horatio_ver01/sn85026002/3/17/ed-1/seq-4/1,Ohio
21755,13778,0,sn84022149,"The Cheyenne daily leader (Cheyenne, Wyo.) 1870-1884",1879,2,6,seq-1,ed-1,1,https://articleextractor.org/pages/13778/wyu_baggs_ver01/sn84022149/2/6/ed-1/seq-1/1,Wyoming
21722,13785,0,sn84026801,"Huntington advertiser (Huntington, W. ...)",1876,1,27,seq-2,ed-1,1,https://articleextractor.org/pages/13785/wvu_neely_ver01/sn84026801/1/27/ed-1/seq-2/1,West Virginia
18549,13790,0,sn83045160,"Memphis daily appeal (Memphis, Tenn.)",1881,12,27,seq-2,ed-1,1,https://articleextractor.org/pages/13790/tu_charlie_ver01/sn83045160/12/27/ed-1/seq-2/1,Alabama
18550,13790,1,sn83045160,"Memphis daily appeal (Memphis, Tenn.)",1881,12,27,seq-2,ed-1,1,https://articleextractor.org/pages/13790/tu_charlie_ver01/sn83045160/12/27/ed-1/seq-2/1,Alabama
18551,13790,2,sn83045160,"Memphis daily appeal (Memphis, Tenn.)",1881,12,27,seq-2,ed-1,1,https://articleextractor.org/pages/13790/tu_charlie_ver01/sn83045160/12/27/ed-1/seq-2/1,Alabama
18552,13790,3,sn83045160,"Memphis daily appeal (Memphis, Tenn.)",1881,12,27,seq-2,ed-1,1,https://articleextractor.org/pages/13790/tu_charlie_ver01/sn83045160/12/27/ed-1/seq-2/1,Alabama
18553,13790,4,sn83045160,"Memphis daily appeal (Memphis, Tenn.)",1881,12,27,seq-2,ed-1,1,https://articleextractor.org/pages/13790/tu_charlie_ver01/sn83045160/12/27/ed-1/seq-2/1,Alabama
18554,13790,5,sn83045160,"Memphis daily appeal (Memphis, Tenn.)",1881,12,27,seq-2,ed-1,1,https://articleextractor.org/pages/13790/tu_charlie_ver01/sn83045160/12/27/ed-1/seq-2/1,Alabama
18555,13790,6,sn83045160,"Memphis daily appeal (Memphis, Tenn.)",1881,12,27,seq-2,ed-1,1,https://articleextractor.org/pages/13790/tu_charlie_ver01/sn83045160/12/27/ed-1/seq-2/1,Alabama
1683,13792,0,sn84020151,"Huntsville gazette (Huntsville, Ala...)",1882,4,8,seq-1,ed-1,1,https://articleextractor.org/pages/13792/au_inman_ver01/sn84020151/4/8/ed-1/seq-1/1,Alabama
10243,13794,0,sn92053943,"The Rock Island Argus. (Rock Island, Il...)",1882,10,4,seq-1,ed-1,1,https://articleextractor.org/pages/13794/iune_deadline_ver01/sn92053943/10/4/ed-1/seq-1/1,Illinois
11556,13795,0,sn86069125,Evening bulletin (Maysville [Ky.]),1882,10,27,seq-2,ed-1,1,https://articleextractor.org/pages/13795/kyu_ishtar_ver01/sn86069125/10/27/ed-1/seq-2/1,Kentucky
11991,13799,0,sn83016025,"The Portland daily press (Portland, Me.)",1883,4,5,seq-1,ed-1,1,https://articleextractor.org/pages/13799/me_edgecomb_ver02/sn83016025/4/5/ed-1/seq-1/1,Maine
