"","X","newspaper","location","date1","year","full_text","date_original","full_state","state1","city1","full_state1","city","state","pubX","publication","black","Newspapers"
"209",209,"Audubon Republican.","Audubon, Iowa","September 20",1894,"Audubon Republican. [volume] (Audubon, Iowa), September 20, 1894, Image 6","September 20, 1894","Iowa","Iowa","Audubon",NA,"Audubon","Iowa","audubon republican",NA,"N",NA
"210",210,"The freeman.","Indianapolis [Ind.]","September 01",1894,"The freeman. [volume] (Indianapolis [Ind.]), September 01, 1894, Image 8","September 01, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"211",211,"Highland recorder.","Monterey, Highland County, Va.","August 10",1894,"Highland recorder. (Monterey, Highland County, Va.), August 10, 1894, Image 2","August 10, 1894","Virginia","Highland County","Monterey",NA,"Monterey","Highland County","highland recorder",NA,"N",NA
"212",212,"The evening bulletin.","Maysville, Ky.","August 04",1894,"The evening bulletin. [volume] (Maysville, Ky.), August 04, 1894, Image 4","August 04, 1894","Kentucky","Ky","Maysville",NA,"Maysville","Ky.","the evening bulletin",NA,"N",NA
"213",213,"The Beatrice daily express.","Beatrice, Neb.","October 16",1894,"The Beatrice daily express. [volume] (Beatrice, Neb.), October 16, 1894, Image 3","October 16, 1894","Nebraska","Neb","Beatrice",NA,"Beatrice","Neb.","the beatrice daily express",NA,"N",NA
"214",214,"The freeman.","Indianapolis [Ind.]","December 22",1894,"The freeman. [volume] (Indianapolis [Ind.]), December 22, 1894, Image 2","December 22, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"215",215,"The Indianapolis journal.","Indianapolis [Ind.]","September 11",1894,"The Indianapolis journal. [volume] (Indianapolis [Ind.]), September 11, 1894, Page 8, Image 8","September 11, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the indianapolis journal",NA,"N",NA
"216",216,"The Appeal.","Saint Paul, Minn. ;","September 29",1894,"The Appeal. [volume] (Saint Paul, Minn. ;), September 29, 1894, Image 2","September 29, 1894","Minnesota","Minn ","Saint Paul",NA,"Saint Paul","Minn. ;","the appeal","The Appeal","Y","The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??"
"217",217,"The freeman.","Indianapolis [Ind.]","March 17",1894,"The freeman. [volume] (Indianapolis [Ind.]), March 17, 1894, Image 6","March 17, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"218",218,"The freeman.","Indianapolis [Ind.]","August 25",1894,"The freeman. [volume] (Indianapolis [Ind.]), August 25, 1894, Image 6","August 25, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"219",219,"The freeman.","Indianapolis [Ind.]","August 25",1894,"The freeman. [volume] (Indianapolis [Ind.]), August 25, 1894, Image 8","August 25, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"220",220,"The freeman.","Indianapolis [Ind.]","September 29",1894,"The freeman. [volume] (Indianapolis [Ind.]), September 29, 1894, Image 7","September 29, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"221",221,"The freeman.","Indianapolis [Ind.]","September 08",1894,"The freeman. [volume] (Indianapolis [Ind.]), September 08, 1894, Image 2","September 08, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"222",222,"The freeman.","Indianapolis [Ind.]","September 15",1894,"The freeman. [volume] (Indianapolis [Ind.]), September 15, 1894, Image 7","September 15, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"223",223,"The freeman.","Indianapolis [Ind.]","August 11",1894,"The freeman. [volume] (Indianapolis [Ind.]), August 11, 1894, Image 4","August 11, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"224",224,"The freeman.","Indianapolis [Ind.]","March 03",1894,"The freeman. [volume] (Indianapolis [Ind.]), March 03, 1894, Image 4","March 03, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"225",225,"The freeman.","Indianapolis [Ind.]","July 28",1894,"The freeman. [volume] (Indianapolis [Ind.]), July 28, 1894, Image 2","July 28, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"226",226,"The freeman.","Indianapolis [Ind.]","July 28",1894,"The freeman. [volume] (Indianapolis [Ind.]), July 28, 1894, Image 8","July 28, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"227",227,"The freeman.","Indianapolis [Ind.]","March 31",1894,"The freeman. [volume] (Indianapolis [Ind.]), March 31, 1894, Image 4","March 31, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"228",228,"The freeman.","Indianapolis [Ind.]","July 21",1894,"The freeman. [volume] (Indianapolis [Ind.]), July 21, 1894, Image 7","July 21, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"229",229,"Omaha daily bee.","Omaha [Neb.]","July 01",1894,"Omaha daily bee. (Omaha [Neb.]), July 01, 1894, Page 10, Image 10","July 01, 1894","Nebraska",NA,"Omaha Neb","Nebraska","Omaha [Neb.]",NA,"omaha daily bee",NA,"N",NA
"230",230,"The gazette.","Cleveland, Ohio","September 15",1894,"The gazette. [volume] (Cleveland, Ohio), September 15, 1894, Page 2, Image 2","September 15, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"231",231,"The Washington times.","Washington, D.C.","July 30",1894,"The Washington times. (Washington, D.C.), July 30, 1894, Image 1","July 30, 1894","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington times",NA,"N",NA
"232",232,"The gazette.","Cleveland, Ohio","December 01",1894,"The gazette. [volume] (Cleveland, Ohio), December 01, 1894, Page 2, Image 2","December 01, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"233",233,"The morning news.","Savannah, Ga.","August 13",1894,"The morning news. [volume] (Savannah, Ga.), August 13, 1894, Page 4, Image 4","August 13, 1894","Georgia","Ga","Savannah",NA,"Savannah","Ga.","the morning news",NA,"N",NA
"234",234,"The People's friend.","Wichita, Kan.","August 17",1894,"The People's friend. [volume] (Wichita, Kan.), August 17, 1894, Image 1","August 17, 1894","Kansas","Kan","Wichita",NA,"Wichita","Kan.","the peoples friend","The People's Friend","Y","The People's Friend (Wichita, Kan.) 1894-1896"
"235",235,"Arizona republican.","Phoenix, Ariz.","September 21",1894,"Arizona republican. [volume] (Phoenix, Ariz.), September 21, 1894, Image 1","September 21, 1894","Arizona","Ariz","Phoenix",NA,"Phoenix","Ariz.","arizona republican",NA,"N",NA
"236",236,"The freeman.","Indianapolis [Ind.]","June 16",1894,"The freeman. [volume] (Indianapolis [Ind.]), June 16, 1894, Image 1","June 16, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"237",237,"The People's friend.","Wichita, Kan.","June 29",1894,"The People's friend. [volume] (Wichita, Kan.), June 29, 1894, Image 1","June 29, 1894","Kansas","Kan","Wichita",NA,"Wichita","Kan.","the peoples friend","The People's Friend","Y","The People's Friend (Wichita, Kan.) 1894-1896"
"238",238,"The People's friend.","Wichita, Kan.","September 07",1894,"The People's friend. [volume] (Wichita, Kan.), September 07, 1894, Image 1","September 07, 1894","Kansas","Kan","Wichita",NA,"Wichita","Kan.","the peoples friend","The People's Friend","Y","The People's Friend (Wichita, Kan.) 1894-1896"
"239",239,"Watauga Democrat.","Boone, Watauga County, N.C.","August 16",1894,"Watauga Democrat. [volume] (Boone, Watauga County, N.C.), August 16, 1894, Image 1","August 16, 1894","North Carolina","Watauga County","Boone",NA,"Boone","Watauga County","watauga democrat",NA,"N",NA
"240",240,"Huntsville gazette.","Huntsville, Ala.","September 29",1894,"Huntsville gazette. [volume] (Huntsville, Ala.), September 29, 1894, Image 2","September 29, 1894","Alabama","Ala","Huntsville",NA,"Huntsville","Ala.","huntsville gazette","Huntsville Gazette","Y","Huntsville Gazette (Huntsville, Ala.) 1879-1894"
"241",241,"Huntsville gazette.","Huntsville, Ala.","July 14",1894,"Huntsville gazette. [volume] (Huntsville, Ala.), July 14, 1894, Image 2","July 14, 1894","Alabama","Ala","Huntsville",NA,"Huntsville","Ala.","huntsville gazette","Huntsville Gazette","Y","Huntsville Gazette (Huntsville, Ala.) 1879-1894"
"242",242,"Huntsville gazette.","Huntsville, Ala.","May 12",1894,"Huntsville gazette. [volume] (Huntsville, Ala.), May 12, 1894, Image 2","May 12, 1894","Alabama","Ala","Huntsville",NA,"Huntsville","Ala.","huntsville gazette","Huntsville Gazette","Y","Huntsville Gazette (Huntsville, Ala.) 1879-1894"
"243",243,"The People's friend.","Wichita, Kan.","September 28",1894,"The People's friend. [volume] (Wichita, Kan.), September 28, 1894, Image 1","September 28, 1894","Kansas","Kan","Wichita",NA,"Wichita","Kan.","the peoples friend","The People's Friend","Y","The People's Friend (Wichita, Kan.) 1894-1896"
"244",244,"The freeman.","Indianapolis [Ind.]","June 30",1894,"The freeman. [volume] (Indianapolis [Ind.]), June 30, 1894, Image 1","June 30, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"245",245,"The Wichita daily eagle.","Wichita, Kan.","September 25",1894,"The Wichita daily eagle. [volume] (Wichita, Kan.), September 25, 1894, Page 6, Image 6","September 25, 1894","Kansas","Kan","Wichita",NA,"Wichita","Kan.","the wichita daily eagle",NA,"N",NA
"246",246,"The gazette.","Cleveland, Ohio","November 10",1894,"The gazette. [volume] (Cleveland, Ohio), November 10, 1894, Page 3, Image 3","November 10, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"247",247,"The gazette.","Cleveland, Ohio","November 17",1894,"The gazette. [volume] (Cleveland, Ohio), November 17, 1894, Page 3, Image 3","November 17, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"248",248,"The gazette.","Cleveland, Ohio","June 16",1894,"The gazette. [volume] (Cleveland, Ohio), June 16, 1894, Image 1","June 16, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"249",249,"The Salt Lake herald.","Salt Lake City [Utah]","July 30",1894,"The Salt Lake herald. [volume] (Salt Lake City [Utah]), July 30, 1894, Image 1","July 30, 1894","Utah",NA,"Salt Lake City Utah",NA,"Salt Lake City [Utah]",NA,"the salt lake herald",NA,"N",NA
"250",250,"The Rawlins Republican.","Rawlins, Carbon County, Wyo.","October 25",1894,"The Rawlins Republican. (Rawlins, Carbon County, Wyo.), October 25, 1894, Image 7","October 25, 1894","Wyoming","Carbon County","Rawlins",NA,"Rawlins","Carbon County","the rawlins republican",NA,"N",NA
"251",251,"The gazette.","Cleveland, Ohio","December 29",1894,"The gazette. [volume] (Cleveland, Ohio), December 29, 1894, Page 3, Image 3","December 29, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"252",252,"The Salt Lake herald.","Salt Lake City [Utah]","August 04",1894,"The Salt Lake herald. [volume] (Salt Lake City [Utah]), August 04, 1894, Page 2, Image 2","August 04, 1894","Utah",NA,"Salt Lake City Utah",NA,"Salt Lake City [Utah]",NA,"the salt lake herald",NA,"N",NA
"253",253,"Iowa state bystander.","Des Moines, Iowa","September 28",1894,"Iowa state bystander. [volume] (Des Moines, Iowa), September 28, 1894, Image 1","September 28, 1894","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"254",254,"Omaha daily bee.","Omaha [Neb.]","September 19",1894,"Omaha daily bee. (Omaha [Neb.]), September 19, 1894, Page 5, Image 5","September 19, 1894","Nebraska",NA,"Omaha Neb","Nebraska","Omaha [Neb.]",NA,"omaha daily bee",NA,"N",NA
"255",255,"The gazette.","Cleveland, Ohio","February 24",1894,"The gazette. [volume] (Cleveland, Ohio), February 24, 1894, Image 1","February 24, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"256",256,"Richmond planet.","Richmond, Va.","August 18",1894,"Richmond planet. [volume] (Richmond, Va.), August 18, 1894, Image 2","August 18, 1894","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"257",257,"The morning call.","San Francisco [Calif.]","July 30",1894,"The morning call. [volume] (San Francisco [Calif.]), July 30, 1894, Image 1","July 30, 1894","California",NA,"San Francisco Calif",NA,"San Francisco [Calif.]",NA,"the morning call",NA,"N",NA
"258",258,"Wheeling register.","Wheeling, W. Va.","July 30",1894,"Wheeling register. [volume] (Wheeling, W. Va.), July 30, 1894, Image 1","July 30, 1894","Virginia","W Va","Wheeling",NA,"Wheeling","W. Va.","wheeling register",NA,"N",NA
"259",259,"The gazette.","Cleveland, Ohio","September 22",1894,"The gazette. [volume] (Cleveland, Ohio), September 22, 1894, Image 1","September 22, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"260",260,"Mexico weekly ledger.","Mexico, Mo.","August 09",1894,"Mexico weekly ledger. (Mexico, Mo.), August 09, 1894, Image 1","August 09, 1894","Missouri","Mo","Mexico",NA,"Mexico","Mo.","mexico weekly ledger",NA,"N",NA
"261",261,"The Washington bee.","Washington, D.C.","September 08",1894,"The Washington bee. [volume] (Washington, D.C.), September 08, 1894, Image 2","September 08, 1894","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"262",262,"The Washington bee.","Washington, D.C.","July 14",1894,"The Washington bee. [volume] (Washington, D.C.), July 14, 1894, Image 2","July 14, 1894","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"263",263,"The Washington bee.","Washington, D.C.","August 25",1894,"The Washington bee. [volume] (Washington, D.C.), August 25, 1894, Image 2","August 25, 1894","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"264",264,"Iowa state bystander.","Des Moines, Iowa","November 23",1894,"Iowa state bystander. [volume] (Des Moines, Iowa), November 23, 1894, Image 4","November 23, 1894","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"265",265,"The gazette.","Cleveland, Ohio","June 02",1894,"The gazette. [volume] (Cleveland, Ohio), June 02, 1894, Image 1","June 02, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"266",266,"The Kinsley graphic.","Kinsley, Kan.","September 21",1894,"The Kinsley graphic. [volume] (Kinsley, Kan.), September 21, 1894, Image 2","September 21, 1894","Kansas","Kan","Kinsley",NA,"Kinsley","Kan.","the kinsley graphic",NA,"N",NA
"267",267,"Iowa state bystander.","Des Moines, Iowa","December 14",1894,"Iowa state bystander. [volume] (Des Moines, Iowa), December 14, 1894, Image 4","December 14, 1894","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"268",268,"The gazette.","Cleveland, Ohio","July 28",1894,"The gazette. [volume] (Cleveland, Ohio), July 28, 1894, Page 3, Image 3","July 28, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"269",269,"The gazette.","Cleveland, Ohio","August 25",1894,"The gazette. [volume] (Cleveland, Ohio), August 25, 1894, Image 1","August 25, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"270",270,"The American citizen.","Topeka, Kan.","May 04",1894,"The American citizen. [volume] (Topeka, Kan.), May 04, 1894, Image 2","May 04, 1894","Kansas","Kan","Topeka",NA,"Topeka","Kan.","the american citizen","The American Citizen","Y","The American Citizen (Topeka, Kan.) 1888-1909"
"271",271,"The Osceola times.","Osceola, Ark.","September 22",1894,"The Osceola times. [volume] (Osceola, Ark.), September 22, 1894, Image 2","September 22, 1894","Arkansas","Ark","Osceola",NA,"Osceola","Ark.","the osceola times",NA,"N",NA
"272",272,"Richmond planet.","Richmond, Va.","October 20",1894,"Richmond planet. [volume] (Richmond, Va.), October 20, 1894, Image 3","October 20, 1894","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"273",273,"Evening journal.","Wilmington, Del.","August 10",1894,"Evening journal. [volume] (Wilmington, Del.), August 10, 1894, Image 2","August 10, 1894","Delaware","Del","Wilmington",NA,"Wilmington","Del.","evening journal",NA,"N",NA
"274",274,"The new dominion.","Morgantown, W. Va.","August 11",1894,"The new dominion. [volume] (Morgantown, W. Va.), August 11, 1894, Image 2","August 11, 1894","Virginia","W Va","Morgantown",NA,"Morgantown","W. Va.","the new dominion",NA,"N",NA
"275",275,"Der Deutsche correspondent.","Baltimore, Md.","October 26",1894,"Der Deutsche correspondent. [volume] (Baltimore, Md.), October 26, 1894, Image 4","October 26, 1894","Maryland","Md","Baltimore",NA,"Baltimore","Md.","der deutsche correspondent",NA,"N",NA
"276",276,"Omaha daily bee.","Omaha [Neb.]","November 25",1894,"Omaha daily bee. (Omaha [Neb.]), November 25, 1894, Page 13, Image 14","November 25, 1894","Nebraska",NA,"Omaha Neb","Nebraska","Omaha [Neb.]",NA,"omaha daily bee",NA,"N",NA
"277",277,"The news & observer.","Raleigh, N.C.","December 23",1894,"The news & observer. [volume] (Raleigh, N.C.), December 23, 1894, Image 1","December 23, 1894","North Carolina","NC","Raleigh",NA,"Raleigh","N.C.","the news  observer",NA,"N",NA
"278",278,"The gazette.","Cleveland, Ohio","June 02",1894,"The gazette. [volume] (Cleveland, Ohio), June 02, 1894, Page 2, Image 2","June 02, 1894","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"279",279,"The Indianapolis journal.","Indianapolis [Ind.]","September 15",1894,"The Indianapolis journal. [volume] (Indianapolis [Ind.]), September 15, 1894, Page 3, Image 3","September 15, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the indianapolis journal",NA,"N",NA
"280",280,"St. Paul daily globe.","Saint Paul, Minn.","August 04",1894,"St. Paul daily globe. [volume] (Saint Paul, Minn.), August 04, 1894, Page 4, Image 4","August 04, 1894","Minnesota","Minn","Saint Paul",NA,"Saint Paul","Minn.","st paul daily globe",NA,"N",NA
"281",281,"The Worthington advance.","Worthington, Minn.","October 18",1894,"The Worthington advance. [volume] (Worthington, Minn.), October 18, 1894, Image 7","October 18, 1894","Minnesota","Minn","Worthington",NA,"Worthington","Minn.","the worthington advance",NA,"N",NA
"282",282,"Little Falls weekly transcript.","Little Falls, Morrison Co., Minn.","October 19",1894,"Little Falls weekly transcript. (Little Falls, Morrison Co., Minn.), October 19, 1894, Image 3","October 19, 1894","Minnesota","Morrison Co","Little Falls",NA,"Little Falls","Morrison Co.","little falls weekly transcript",NA,"N",NA
"283",283,"The Madison daily leader.","Madison, S.D.","October 18",1894,"The Madison daily leader. [volume] (Madison, S.D.), October 18, 1894, Image 4","October 18, 1894","South Dakota","SD","Madison",NA,"Madison","S.D.","the madison daily leader",NA,"N",NA
"284",284,"The Madison daily leader.","Madison, S.D.","September 12",1894,"The Madison daily leader. [volume] (Madison, S.D.), September 12, 1894, Image 2","September 12, 1894","South Dakota","SD","Madison",NA,"Madison","S.D.","the madison daily leader",NA,"N",NA
"285",285,"The Providence news.","Providence [R.I.]","August 17",1894,"The Providence news. (Providence [R.I.]), August 17, 1894, Image 8","August 17, 1894","Rhode Island",NA,"Providence RI",NA,"Providence [R.I.]",NA,"the providence news",NA,"N",NA
"286",286,"The freeman.","Indianapolis [Ind.]","September 01",1894,"The freeman. [volume] (Indianapolis [Ind.]), September 01, 1894, Image 4","September 01, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"287",287,"The freeman.","Indianapolis [Ind.]","September 22",1894,"The freeman. [volume] (Indianapolis [Ind.]), September 22, 1894, Image 5","September 22, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"288",288,"The freeman.","Indianapolis [Ind.]","September 22",1894,"The freeman. [volume] (Indianapolis [Ind.]), September 22, 1894, Image 4","September 22, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"289",289,"The Durham daily globe.","Durham, N.C.","October 01",1894,"The Durham daily globe. (Durham, N.C.), October 01, 1894, Image 3","October 01, 1894","North Carolina","NC","Durham",NA,"Durham","N.C.","the durham daily globe",NA,"N",NA
"290",290,"Freeland tribune.","Freeland, Pa.","September 27",1894,"Freeland tribune. (Freeland, Pa.), September 27, 1894, Image 3","September 27, 1894","Pennsylvania","Pa","Freeland",NA,"Freeland","Pa.","freeland tribune",NA,"N",NA
"291",291,"The Greenville times.","Greenville, Miss.","June 30",1894,"The Greenville times. [volume] (Greenville, Miss.), June 30, 1894, Image 2","June 30, 1894","Mississippi","Miss","Greenville",NA,"Greenville","Miss.","the greenville times",NA,"N",NA
"292",292,"The Lafayette gazette.","Lafayette, La.","September 08",1894,"The Lafayette gazette. [volume] (Lafayette, La.), September 08, 1894, Image 2","September 08, 1894","Louisiana","La","Lafayette",NA,"Lafayette","La.","the lafayette gazette",NA,"N",NA
"293",293,"The comet.","Johnson City, Tenn.","August 16",1894,"The comet. (Johnson City, Tenn.), August 16, 1894, Image 2","August 16, 1894","Tennessee","Tenn","Johnson City",NA,"Johnson City","Tenn.","the comet",NA,"N",NA
"294",294,"Bridgeton pioneer.","Bridgeton, N.J.","September 27",1894,"Bridgeton pioneer. (Bridgeton, N.J.), September 27, 1894, Image 4","September 27, 1894","New Jersey","NJ","Bridgeton",NA,"Bridgeton","N.J.","bridgeton pioneer",NA,"N",NA
"295",295,"The Providence news.","Providence [R.I.]","October 26",1894,"The Providence news. (Providence [R.I.]), October 26, 1894, Image 1","October 26, 1894","Rhode Island",NA,"Providence RI",NA,"Providence [R.I.]",NA,"the providence news",NA,"N",NA
"296",296,"The Kansas blackman.","Topeka, Kan.","June 29",1894,"The Kansas blackman. [volume] (Topeka, Kan.), June 29, 1894, Image 1","June 29, 1894","Kansas","Kan","Topeka",NA,"Topeka","Kan.","the kansas blackman","The Kansas Blackman","Y","The Kansas Blackman (Topeka, Kan.) 1894-1???"
"297",297,"San Antonio daily light.","San Antonio, Tex.","December 06",1894,"San Antonio daily light. [volume] (San Antonio, Tex.), December 06, 1894, Image 7","December 06, 1894","Texas","Tex","San Antonio",NA,"San Antonio","Tex.","san antonio daily light",NA,"N",NA
"298",298,"The American citizen.","Topeka, Kan.","August 03",1894,"The American citizen. [volume] (Topeka, Kan.), August 03, 1894, Image 3","August 03, 1894","Kansas","Kan","Topeka",NA,"Topeka","Kan.","the american citizen","The American Citizen","Y","The American Citizen (Topeka, Kan.) 1888-1909"
"299",299,"The freeman.","Indianapolis [Ind.]","January 13",1894,"The freeman. [volume] (Indianapolis [Ind.]), January 13, 1894, Image 4","January 13, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"300",300,"The freeman.","Indianapolis [Ind.]","June 23",1894,"The freeman. [volume] (Indianapolis [Ind.]), June 23, 1894, Image 4","June 23, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"301",301,"The freeman.","Indianapolis [Ind.]","August 04",1894,"The freeman. [volume] (Indianapolis [Ind.]), August 04, 1894, Image 3","August 04, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"302",302,"The freeman.","Indianapolis [Ind.]","November 03",1894,"The freeman. [volume] (Indianapolis [Ind.]), November 03, 1894, Image 4","November 03, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"303",303,"The Indianapolis journal.","Indianapolis [Ind.]","September 13",1894,"The Indianapolis journal. [volume] (Indianapolis [Ind.]), September 13, 1894, Page 8, Image 8","September 13, 1894","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the indianapolis journal",NA,"N",NA
"304",304,"The morning news.","Savannah, Ga.","August 04",1894,"The morning news. [volume] (Savannah, Ga.), August 04, 1894, Page 4, Image 4","August 04, 1894","Georgia","Ga","Savannah",NA,"Savannah","Ga.","the morning news",NA,"N",NA
"305",305,"The gold leaf.","Henderson, N.C.","August 23",1894,"The gold leaf. [volume] (Henderson, N.C.), August 23, 1894, Image 2","August 23, 1894","North Carolina","NC","Henderson",NA,"Henderson","N.C.","the gold leaf",NA,"N",NA
"306",306,"Evening star.","Washington, D.C.","August 06",1894,"Evening star. [volume] (Washington, D.C.), August 06, 1894, Page 9, Image 9","August 06, 1894","District of Columbia","DC","Washington",NA,"Washington","D.C.","evening star",NA,"N",NA
